0x899	approve(address,uint256)
0x997	swapExactTokensForTokens(uint256,uint256,address[],address,uint256)
0x1e2S0x71	flashLoan(uint256,uint256,address,bytes)
0xc4S0x50	transfer(address,uint256)
0x26dS0x76S0x50	burnPool()
0x2c7S0x76S0x50	transfer(address,uint256)
0x34fS0x76S0x50	transfer(address,uint256)
0x3c6S0x76S0x50	balanceOf(address)
0x432S0x76S0x50	transfer(address,uint256)
0x4aaS0x76S0x50	getReserves()
0x5e7S0x76S0x50	balanceOf(address)
0x64dS0x76S0x50	getAmountsOut(uint256,address[])
0x6f8S0x76S0x50	balanceOf(address)
0x7abS0x76S0x50	swap(uint256,uint256,address,bytes)
0x802S0x76S0x50	swapAndLiquify()
