0xba	0x109
0x110	0x4a8
0x4ad	0x4fc
0x503	0x6b9
0x6c3	0x9b5
0x9bc	0xcae
0xcb5	0xcb5
0xd50	0xd50
0xd6f	0xd79
0xd80	0xd93
0xd96	0xda4
0xdaa	0xdaa
0xdb3	0xdc6
0xdc9	0xdd7
0xde9	0xe37
0xe3e	0xeb3
0xec2	0xec2
0xeed	0xf00
0xf03	0xf11
0xf17	0xf4b
0xf55	0xf55
0xfaf	0xfc6
0x1017	0x102e
0x1035	0x103e
0x1044	0x1057
0x105d	0x106b
0x1071	0x1093
0x10c9	0x10f6
0x110b	0x112b
0x1132	0x113b
0x115f	0x1179
0x118f	0x118f
0x11a9	0x11c6
0x1219	0x1258
0x129d	0x12a8
0x12fd	0x1314
0x131b	0x1329
0x132f	0x1339
0x1340	0x1353
0x1356	0x1364
0x136a	0x139e
0x13a8	0x13c8
0x13da	0x13ed
0x13f0	0x13fe
0x1404	0x1426
0x142f	0x1438
0x145b	0x1464
0x1479	0x14ff
0x1505	0x1518
