0x15f	0x229
0x22c	0x2e8
0x2ec	0x37d
0x5e6	0x675
0x692	0x832
0x847	0x847
0x850	0x863
0x866	0x874
0x87a	0x89c
0x8a5	0x8a5
0x8c4	0x8ce
0x8d5	0x8e8
0x8eb	0x8f9
0x8ff	0x945
0x95b	0x9a9
0x9b0	0x9ef
0x9fb	0xa2f
0xa39	0xa42
0xa48	0xa5b
0xa61	0xa6b
0xa72	0xa85
0xa88	0xa96
0xa9c	0xaea
0xaf1	0xb54
0xb62	0xb62
0xb7c	0xb7c
0xb8a	0xb8a
0xbd2	0xbea
0xbf2	0xbf2
0xbfc	0xbfc
0xc1f	0xc29
0xc33	0xc33
0xc8d	0xca4
0xcf5	0xd0c
0xd13	0xd1c
0xd22	0xd4f
0xd62	0xd75
0xd78	0xd86
0xd8c	0xdae
0xe44	0xe66
0xeb9	0xed0
0xed7	0xf31
0xf39	0xf39
0xf6b	0xf77
0xfcd	0xfe4
0x1004	0x1012
0x1029	0x1037
0x105a	0x10b4
0x10bc	0x10bc
0x10f8	0x1151
0x115f	0x116a
0x11a5	0x1205
0x1278	0x1283
0x1297	0x12f8
0x130a	0x1337
0x1341	0x1361
0x13b2	0x13c9
0x141a	0x1431
