0x7d2	0xa25
0xa2e	0xb5e
0xb6a	0xd77
0xd7b	0xeff
0xf17	0xf65
0xf6c	0xfba
0xfc1	0x1031
0x1068	0x1068
0x1082	0x1082
0x1090	0x1090
0x10d8	0x10e3
0x10f7	0x1158
0x116a	0x1182
0x11a9	0x11b3
0x11ba	0x11cd
0x11d0	0x11de
0x11e4	0x1232
0x1239	0x128a
0x12de	0x12f6
0x12fe	0x1320
0x1329	0x1329
0x1333	0x1333
0x1356	0x1360
0x136a	0x136a
0x13c4	0x13db
0x142c	0x1443
0x1494	0x14ab
0x1518	0x1572
0x15ac	0x15b8
0x160e	0x1625
0x162c	0x1635
0x163b	0x164e
0x1654	0x1654
0x165d	0x1670
0x1673	0x1681
0x1687	0x16a9
0x16fc	0x1713
0x1729	0x1749
0x175b	0x176e
0x1771	0x177f
0x1785	0x17a7
0x17fa	0x1811
0x1862	0x1879
0x18ca	0x18e1
0x65d	0x6b06
0x65d	0x6b27
