0x2da	0x4eb
0x4f1	0x6f6
0x6ff	0x8e0
0x8eb	0xa85
0xa89	0xb0a
0xb0f	0xbd2
0xbd7	0xbe6
0xbef	0xcb0
0xcbc	0xd3b
0xdac	0xdac
0xe1d	0xe33
0xe93	0xe9e
0xea5	0xeb9
0xebc	0xecb
0xf07	0xf07
0xf16	0xf50
0xf58	0xf7d
0xff2	0x106f
0x1079	0x109e
0x10a7	0x10e7
0x10f0	0x10f0
0x10fa	0x1103
0x1135	0x1135
0x1151	0x116f
0x11b4	0x11c0
0x11d5	0x1238
0x124a	0x1271
0x127a	0x128e
0x1291	0x12a0
0x12a6	0x12dc
0x12eb	0x133a
0x1341	0x13a7
0x13b5	0x13d9
0x13e2	0x13e2
0x143f	0x1458
0x14ca	0x14d6
0x152d	0x1546
0x15c4	0x15d9
0x15df	0x15ee
0x15f4	0x1618
0x1693	0x16ac
0x16b3	0x16bc
0x16c2	0x16f1
0x16f9	0x171b
0x1722	0x1731
0x1737	0x175b
0x17b0	0x17c9
0x180e	0x185d
0x186a	0x187f
0x18d1	0x18ea
0x18fd	0x1911
0x1914	0x1923
0x1929	0x194d
0x19c8	0x19e1
0x1a5a	0x1a73
0x1ac6	0x1adf
0x1b2a	0x1b44
