0x57	0xe3
0x89	0xad
0xa9	0xb2
0xb8	0x3534
0x127	0x132
0x14d	0x156
0x15b	0x3555
0x15f	0x191
0x1f8	0x1ff
0x201	0x2130x1f4
0x204	0x20e
0x229	0x230
0x232	0x3576
0x235	0x23f
0x248	0x24f
0x251	0x3597
0x25c	0x263
0x266	0x2130x258
0x26e	0x275
0x277	0x35b8
0x27a	0x284
0x285	0x55b
0x28d	0x35d9
0x573	0x5ae
0x5aa	0x18b0
0x5b2	0x5bb
0x5bc	0x5c5
0x5c8	0x604
0x600	0x18d8
0x60b	0x6cd
0x617	0x622
0x61e	0x1900
0x62b	0x634
0x638	0x642
0x657	0x67b
0x677	0x680
0x686	0x6c4
0x6c0	0x1933
0x6c9	0x606
0x6d5	0x75d
0x6e5	0x6f0
0x6ec	0x195b
0x6fc	0x705
0x73c	0x743
0x74d	0x754
0x759	0x6d0
0x761	0x770
0x765	0x76e
0xb5b	0x3691
0x36bd	0x36cb
0x36bf	0x36ce
0x36c1	0x36d1
0x36c3	0x36d4
0x36c5	0x36d7
0x36c7	0x36da
0x36c9	0x36dd
0x9fcV0x132	0xa03B0x132
0xa13V0x1ff	0xa1aB0x1ff
0xa29V0x1ff	0x361fB0x1ff
0xa13V0x230	0xa1aB0x230
0xa29V0x230	0x361fB0x230
0xb94V0x622	0xb9bB0x622
0xbaeV0x622	0xbb5B0x622
0xbc2V0x622	0x36b6B0x622
0xa13V0x6f0	0xa1aB0x6f0
0xa29V0x6f0	0x361fB0x6f0
0x324V0x15f	0x32dB0x15f
0x384V0x15f	0x1888B0x15f
0x2e6V0x15f	0x2efB0x15f
0x2ebV0x15f	0xb1eB0x15f
0x304V0x15f	0x328B0x15f
0x336V0x15f	0x357B0x15f
0x358V0x15f	0x388B0x15f
0x33fV0x15f	0x357B0x15f
0x34eV0x15f	0x357B0x15f
0xb3dV0x343V0x15f	0xb44B0x343B0x15f
0xb4cV0x343V0x15f	0x366bB0x343B0x15f
0x85cV0x765	0xbd8B0x765
0x8a9V0x765	0x8b4B0x765
0x8b0V0x765	0x19b6B0x765
0x8ebV0x765	0x19e9B0x765
0x913V0x765	0x1a1cB0x765
0x97bV0x765	0x984B0x765
0x9c0V0x765	0x1a4fB0x765
0x9d3V0x765	0x1a77B0x765
0x855V0x765	0x860B0x765
0x876V0x765	0x893B0x765
0x88dV0x765	0x87eB0x765
0x8bdV0x765	0x8c6B0x765
0x8c7V0x765	0x8d4B0x765
0x8e4V0x765	0x8efB0x765
0x8f8V0x765	0x901B0x765
0x90cV0x765	0x917B0x765
0x920V0x765	0x929B0x765
0x92aV0x765	0x937B0x765
0x93bV0x765	0x945B0x765
0x95bV0x765	0x97fB0x765
0x98bV0x765	0x9c4B0x765
0x9ccV0x765	0x9d7B0x765
0x9e8V0x765	0x898B0x765
0x89dV0x765	0x9ecB0x765
0xbf9V0x8b4V0x765	0xc00B0x8b4B0x765
0xa13V0x8c6V0x765	0xa1aB0x8c6B0x765
0xa29V0x8c6V0x765	0x361fB0x8c6B0x765
0xbf9V0x8efV0x765	0xc00B0x8efB0x765
0xbf9V0x917V0x765	0xc00B0x917B0x765
0xb94V0x929V0x765	0xb9bB0x929B0x765
0xbaeV0x929V0x765	0xbb5B0x929B0x765
0xbc2V0x929V0x765	0x36b6B0x929B0x765
0x3c8V0x20e	0x3d3B0x20e
0x3eeV0x20e	0x35faB0x20e
0x9fcV0x3d3V0x20e	0xa03B0x3d3B0x20e
0x4efV0x24f	0x50cB0x24f
0x4ebV0x24f	0x558B0x24f
0x800V0x4efV0x24f	0x809B0x4efB0x24f
0x83cV0x4efV0x24f	0x198eB0x4efB0x24f
0x7e0V0x4efV0x24f	0x804B0x4efB0x24f
0x80fV0x4efV0x24f	0x840B0x4efB0x24f
0xa8dV0x275	0xa94B0x275
0xaa3V0x275	0xaaaB0x275
0xaabV0x275	0xab6B0x275
0xaceV0x275	0xad5B0x275
0xad6V0x275	0xae1B0x275
0xaf9V0x275	0xb00B0x275
0xb01V0x275	0xb0cB0x275
0xa57V0xaaaV0x275	0xa5eB0xaaaB0x275
0xa71V0xaaaV0x275	0x3645B0xaaaB0x275
0xa40V0xaaaV0x275	0xa47B0xaaaB0x275
0xa57V0xad5V0x275	0xa5eB0xad5B0x275
0xa71V0xad5V0x275	0x3645B0xad5B0x275
0xa40V0xad5V0x275	0xa47B0xad5B0x275
0xa57V0xb00V0x275	0xa5eB0xb00B0x275
0xa71V0xb00V0x275	0x3645B0xb00B0x275
0xa40V0xb00V0x275	0xa47B0xb00B0x275
0x46eV0x23f	0x48cB0x23f
0x436V0x23f	0x441B0x23f
0x45cV0x23f	0x465B0x23f
0x46aV0x23f	0x4e3B0x23f
0x9fcV0x441V0x23f	0xa03B0x441B0x23f
0x324V0x46eV0x23f	0x32dB0x46eB0x23f
0x384V0x46eV0x23f	0x1888B0x46eB0x23f
0x2e6V0x46eV0x23f	0x2efB0x46eB0x23f
0x2ebV0x46eV0x23f	0xb1eB0x46eB0x23f
0x304V0x46eV0x23f	0x328B0x46eB0x23f
0x336V0x46eV0x23f	0x357B0x46eB0x23f
0x358V0x46eV0x23f	0x388B0x46eB0x23f
0x33fV0x46eV0x23f	0x357B0x46eB0x23f
0x34eV0x46eV0x23f	0x357B0x46eB0x23f
0xb3dV0x343V0x46eV0x23f	0xb44B0x343B0x46eB0x23f
0xb4cV0x343V0x46eV0x23f	0x366bB0x343B0x46eB0x23f
