comparison,model_a,model_b,condition,metric,delta_mean,delta_sd
M0_to_F200,authguard_seq,M0,F200,AUPRC,-0.012567428520547264,0.00544529096773049
M0_to_F200,authguard_seq,M0,F200,Recall_05,-0.10365544366284374,0.027465971627788396
M0_to_M3+F200,authguard_seq,M0,M3+F200,AUPRC,-0.02005452628466183,0.0013112799654903253
M0_to_M3+F200,authguard_seq,M0,M3+F200,Recall_05,-0.10538300129455203,0.024008523389744223
M0_to_F200,flat_cnn,M0,F200,AUPRC,-0.35487648801911464,0.0025513845805429113
M0_to_F200,flat_cnn,M0,F200,Recall_05,-0.5238211369590662,0.01648174112014534
M0_to_M3+F200,flat_cnn,M0,M3+F200,AUPRC,-0.3645624656747775,0.0014236438141566352
M0_to_M3+F200,flat_cnn,M0,M3+F200,Recall_05,-0.5302411075019139,0.019125629802755596
M0_to_F200,hist_ngram_xgb,M0,F200,AUPRC,-0.2577524442386406,0.006110123620792947
M0_to_F200,hist_ngram_xgb,M0,F200,Recall_05,-0.3888749881675791,0.02723329364608008
M0_to_M3+F200,hist_ngram_xgb,M0,M3+F200,AUPRC,-0.2762259776298933,0.010193922075062412
M0_to_M3+F200,hist_ngram_xgb,M0,M3+F200,Recall_05,-0.4129639419943138,0.018991663879378798
authguard_seq_minus_flat_cnn,authguard_seq,flat_cnn,M0,AUPRC,0.04254898278710376,0.005119867706610601
authguard_seq_minus_flat_cnn,authguard_seq,flat_cnn,M0,Recall_05,0.1356514310055413,0.037605115724506186
authguard_seq_minus_hist_ngram_xgb,authguard_seq,hist_ngram_xgb,M0,AUPRC,0.09906504380783876,0.003501914091065627
authguard_seq_minus_hist_ngram_xgb,authguard_seq,hist_ngram_xgb,M0,Recall_05,0.23539757154600593,0.029741224333603548
authguard_seq_minus_flat_cnn,authguard_seq,flat_cnn,F200,AUPRC,0.38485804228567116,0.009866584829847652
authguard_seq_minus_flat_cnn,authguard_seq,flat_cnn,F200,Recall_05,0.5558171243017638,0.028260642125184508
authguard_seq_minus_hist_ngram_xgb,authguard_seq,hist_ngram_xgb,F200,AUPRC,0.3442500595259321,0.007741678148266518
authguard_seq_minus_hist_ngram_xgb,authguard_seq,hist_ngram_xgb,F200,Recall_05,0.5206171160507412,0.03250767023120146
authguard_seq_minus_flat_cnn,authguard_seq,flat_cnn,M3+F200,AUPRC,0.3870569221772195,0.006642771511907756
authguard_seq_minus_flat_cnn,authguard_seq,flat_cnn,M3+F200,Recall_05,0.5605095372129031,0.03354356457167329
authguard_seq_minus_hist_ngram_xgb,authguard_seq,hist_ngram_xgb,M3+F200,AUPRC,0.3552364951530702,0.011317060596157003
authguard_seq_minus_hist_ngram_xgb,authguard_seq,hist_ngram_xgb,M3+F200,Recall_05,0.5429785122457677,0.03622987057149109
