label,contrast,method,left_ASR_on_common,right_ASR_on_common,difference,ci_low,ci_high,excludes_zero,n_common_observations,n_paired_eligible,n_families_eligible,bootstrap_replicates,seed,scope,estimator,n_sources,mean_seeds_per_source,sd_across_seeds,n_seeds,min_seed_effect,max_seed_effect,all_seeds_positive,all_seed_cis_exclude_zero
seed7702,chunk_mean_16384 - chunk_attention_16384,random_search,0.9850187265917603,0.04868913857677903,0.9363295880149812,0.8980246374865736,0.964221970126678,True,727.0,534.0,166.0,10000.0,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7702,flat_control_16384 - chunk_attention_16384,random_search,0.889273356401384,0.05709342560553633,0.8321799307958477,0.777992277992278,0.8785947108903212,True,727.0,578.0,179.0,10000.0,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7702,chunk_mean_16384 - chunk_attention_16384,beam_search,0.9194756554307116,0.04307116104868914,0.8764044943820225,0.8326994369698743,0.9128934656043558,True,727.0,534.0,166.0,10000.0,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7702,flat_control_16384 - chunk_attention_16384,beam_search,0.7006920415224913,0.05190311418685121,0.6487889273356401,0.5784289215686275,0.7204473592720689,True,727.0,578.0,179.0,10000.0,7702.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7703,chunk_mean_16384 - chunk_attention_16384,random_search,0.9963702359346642,0.07259528130671507,0.9237749546279492,0.8791946308724832,0.9588028381339069,True,727.0,551.0,166.0,10000.0,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7703,flat_control_16384 - chunk_attention_16384,random_search,0.8306306306306306,0.04684684684684685,0.7837837837837838,0.7048089809256302,0.8526315789473684,True,727.0,555.0,169.0,10000.0,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7703,chunk_mean_16384 - chunk_attention_16384,beam_search,0.9528130671506352,0.050816696914700546,0.9019963702359347,0.8578932488733951,0.9385122308401583,True,727.0,551.0,166.0,10000.0,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7703,flat_control_16384 - chunk_attention_16384,beam_search,0.6882882882882883,0.03783783783783784,0.6504504504504505,0.5566190052060054,0.7346947679595398,True,727.0,555.0,169.0,10000.0,7703.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7704,chunk_mean_16384 - chunk_attention_16384,random_search,0.9941176470588236,0.11960784313725491,0.8745098039215686,0.784881193124368,0.9405616415958142,True,727.0,510.0,157.0,10000.0,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7704,flat_control_16384 - chunk_attention_16384,random_search,0.9066427289048474,0.12208258527827648,0.7845601436265709,0.677757720145578,0.8752477272267104,True,727.0,557.0,168.0,10000.0,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7704,chunk_mean_16384 - chunk_attention_16384,beam_search,0.9352941176470588,0.09215686274509804,0.8431372549019608,0.7558632337008476,0.9142286844954208,True,727.0,510.0,157.0,10000.0,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
seed7704,flat_control_16384 - chunk_attention_16384,beam_search,0.7666068222621185,0.08976660682226212,0.6768402154398564,0.5698207276778946,0.7732129198247687,True,727.0,557.0,168.0,10000.0,7704.0,per_seed,family-clustered bootstrap within seed,,,,,,,,
three_seed_family_clustered_seed_averaged,chunk_mean_16384 - chunk_attention_16384,random_search,,,0.8844262295081967,0.8313720636769559,0.9274077937128785,True,,,187.0,10000.0,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",610.0,2.6147540983606556,,,,,,
three_seed_family_clustered_seed_averaged,flat_control_16384 - chunk_attention_16384,random_search,,,0.7852206273258905,0.7278471190942021,0.8389147896601564,True,,,191.0,10000.0,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",627.0,2.6953748006379583,,,,,,
three_seed_family_clustered_seed_averaged,chunk_mean_16384 - chunk_attention_16384,beam_search,,,0.855464480874317,0.8068234462197079,0.8954470407340188,True,,,187.0,10000.0,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",610.0,2.6147540983606556,,,,,,
three_seed_family_clustered_seed_averaged,flat_control_16384 - chunk_attention_16384,beam_search,,,0.6512493354598617,0.5817656194533191,0.7130049206757241,True,,,191.0,10000.0,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",627.0,2.6953748006379583,,,,,,
three_seed_mean_of_seed_level_estimates,chunk_mean_16384 - chunk_attention_16384,beam_search,,,0.8738460398399727,,,,,,,,,three_seed,mean and SD across per-seed family-clustered point estimates,,,0.024097138581268836,3.0,0.8431372549019608,0.9019963702359347,True,True
three_seed_mean_of_seed_level_estimates,chunk_mean_16384 - chunk_attention_16384,random_search,,,0.9115381155214997,,,,,,,,,three_seed,mean and SD across per-seed family-clustered point estimates,,,0.026679912541421952,3.0,0.8745098039215686,0.9363295880149812,True,True
three_seed_mean_of_seed_level_estimates,flat_control_16384 - chunk_attention_16384,beam_search,,,0.6586931977419823,,,,,,,,,three_seed,mean and SD across per-seed family-clustered point estimates,,,0.012849795154281089,3.0,0.6487889273356401,0.6768402154398564,True,True
three_seed_mean_of_seed_level_estimates,flat_control_16384 - chunk_attention_16384,random_search,,,0.8001746194020675,,,,,,,,,three_seed,mean and SD across per-seed family-clustered point estimates,,,0.022633392023159116,3.0,0.7837837837837838,0.8321799307958477,True,True
