architecture,metric,tier_b_mean,tier_b_sd,full_action_mean,full_action_sd,delta_tierb_minus_full
Chunk attention,random_ASR,0.09173556422453792,0.004535087530821813,0.09968416425370064,0.02245589178091337,-0.007948600029162714
Chunk attention,beam_ASR,0.06885309244553355,0.005916313417872819,0.07717726312154256,0.013333021736488147,-0.008324170676009018
Chunk attention,clean_detection_rate,0.8693259972489683,0.0422770703612398,0.8386061439706557,0.006769749225233134,0.030719853278312614
Chunk attention,robust_recall,0.7895460797799174,0.03803659816956649,0.7542411737734985,0.025961279535794725,0.03530490600641889
Chunk mean,random_ASR,0.9824458086553328,0.0012954480286021292,0.9922519958695669,0.004703837493895199,-0.009806187214234097
Chunk mean,beam_ASR,0.9233611974129851,0.008529275703138032,0.9392540281429173,0.01271591643677026,-0.015892830729932195
Chunk mean,clean_detection_rate,0.7831270059605685,0.00618557430684642,0.7707473635946812,0.006862278563546876,0.012379642365887289
Chunk mean,robust_recall,0.013755158184319119,0.0011231039627616593,0.004585052728106333,0.0017155696408867073,0.009170105456212786
Flat control,random_ASR,0.8666465614380515,0.03069668838092023,0.8799734351030793,0.030441446446052477,-0.013326873665027827
Flat control,beam_ASR,0.7164378210235262,0.04314566087469548,0.7294496202342201,0.035513364248662534,-0.013011799210693953
Flat control,clean_detection_rate,0.8193489225126088,0.008278528237170004,0.817973406694177,0.009077941253197304,0.0013755158184318717
Flat control,robust_recall,0.10912425492893169,0.024408677953610573,0.09215955983493802,0.02366526896022731,0.016964695093993662
