model,sid,family_id,score,threshold,flagged
opcode_rf,ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,F00217,0.056666666666666664,0.37644444444444447,False
opcode_rf,ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,F00218,0.06666666666666667,0.37644444444444447,False
opcode_rf,ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,F00219,0.04,0.37644444444444447,False
opcode_rf,ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,F00220,0.05,0.37644444444444447,False
opcode_rf,ethereum:0x69007702764179f14F51cdce752f4f775d74E139,F00221,0.02,0.37644444444444447,False
opcode_xgb,ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,F00217,0.010279031470417976,0.08195142447948456,False
opcode_xgb,ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,F00218,0.004585637245327234,0.08195142447948456,False
opcode_xgb,ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,F00219,0.00026302531477995217,0.08195142447948456,False
opcode_xgb,ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,F00220,0.0002763467491604388,0.08195142447948456,False
opcode_xgb,ethereum:0x69007702764179f14F51cdce752f4f775d74E139,F00221,4.41384399891831e-05,0.08195142447948456,False
selector_model,ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,F00217,0.01569376140832901,0.181841641664505,False
selector_model,ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,F00218,0.3563818037509918,0.181841641664505,True
selector_model,ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,F00219,0.01607164926826954,0.181841641664505,False
selector_model,ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,F00220,0.00898911152034998,0.181841641664505,False
selector_model,ethereum:0x69007702764179f14F51cdce752f4f775d74E139,F00221,0.03772175684571266,0.181841641664505,False
authguard,ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,F00217,0.0014598623383790255,0.03810333460569382,False
authguard,ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,F00218,0.0033894130028784275,0.03810333460569382,False
authguard,ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,F00219,0.0014898598892614245,0.03810333460569382,False
authguard,ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,F00220,0.0005317807663232088,0.03810333460569382,False
authguard,ethereum:0x69007702764179f14F51cdce752f4f775d74E139,F00221,9.986668010242283e-05,0.03810333460569382,False
