model,tier,clean_detection,ASR,CI95,n_eligible,n_source_seed_observations,n_families,robust_recall_direct,robust_recall_product,seed_scope,fold_scope,provenance
authguard_seq,A_fixed,0.8431911966987621,0.1343121261555193,"[0.089863055913353, 0.1897471619118847]",1839,2181,209,0.7299403943145346,0.7299403943145346,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,A_fixed,0.8253094910591472,0.3016666666666667,"[0.20071637673816362, 0.4124213204229128]",1800,2181,209,0.5763411279229711,0.5763411279229711,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
flat_cnn,A_fixed,0.7216872994039432,0.8100381194409149,"[0.7334672384030557, 0.8777843526763637]",1574,2181,209,0.13709307657038056,0.13709307657038056,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb,A_fixed,0.6368638239339752,0.8394528437724982,"[0.7787584988128642, 0.8905710461884567]",1389,2181,209,0.10224667583677212,0.10224667583677213,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
authguard_seq,B_fixed_available,0.8431911966987621,0.1343121261555193,"[0.09003600800433186, 0.19103576779078538]",1839,2181,209,0.7299403943145346,0.7299403943145346,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,B_fixed_available,0.8253094910591472,0.3016666666666667,"[0.19782031792531557, 0.41234293893957574]",1800,2181,209,0.5763411279229711,0.5763411279229711,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
flat_cnn,B_fixed_available,0.7216872994039432,0.8100381194409149,"[0.7302818012559563, 0.8772057384451775]",1574,2181,209,0.13709307657038056,0.13709307657038056,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb,B_fixed_available,0.6368638239339752,0.8408927285817135,"[0.7815051039305451, 0.8916868257600523]",1389,2181,209,0.10132966529115085,0.10132966529115082,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
authguard_seq,C_fixed,0.8431911966987621,0.13648722131593258,"[0.09219751757849905, 0.19234846831244207]",1839,2181,209,0.7281063732232921,0.7281063732232921,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,C_fixed,0.8253094910591472,0.3433333333333333,"[0.2340397036474164, 0.45662702834459223]",1800,2181,209,0.5419532324621733,0.5419532324621734,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
flat_cnn,C_fixed,0.7216872994039432,0.8214739517153749,"[0.7467162852018212, 0.8859063684012496]",1574,2181,209,0.12883998165978908,0.12883998165978908,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb,C_fixed,0.6368638239339752,0.8459323254139669,"[0.7873948355802338, 0.8940218357659719]",1389,2181,209,0.09812012838147639,0.09812012838147638,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
