model,attack_set,n_positive_observations,n_survived,robust_recall_direct,clean_detection,ASR,robust_recall_product,seed_scope,fold_scope,provenance
authguard_seq,TierA_fixed_flooding,2181,1592,0.7299403943145346,0.8431911966987621,0.1343121261555193,0.7299403943145346,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
authguard_seq,TierB_fixed_flooding_metadata,2181,1592,0.7299403943145346,0.8431911966987621,0.1343121261555193,0.7299403943145346,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
authguard_seq,TierC_fixed_all_seven,2181,1588,0.7281063732232921,0.8431911966987621,0.13648722131593258,0.7281063732232921,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
authguard_seq,TierC_adaptive_best,2181,1501,0.6882164144887666,0.8431911966987621,0.18379554105492116,0.6882164144887667,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
authguard_seq,TierC_all_evaluated,2181,1473,0.6753782668500687,0.8431911966987621,0.19902120717781402,0.6753782668500689,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,TierA_fixed_flooding,2181,1257,0.5763411279229711,0.8253094910591472,0.3016666666666667,0.5763411279229711,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,TierB_fixed_flooding_metadata,2181,1257,0.5763411279229711,0.8253094910591472,0.3016666666666667,0.5763411279229711,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,TierC_fixed_all_seven,2181,1182,0.5419532324621733,0.8253094910591472,0.3433333333333333,0.5419532324621734,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,TierC_adaptive_best,2181,770,0.35304906006419073,0.8253094910591472,0.5722222222222222,0.3530490600641908,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
emulator_logreg,TierC_all_evaluated,2181,709,0.32508023842274186,0.8253094910591472,0.6061111111111112,0.3250802384227418,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
flat_cnn,TierA_fixed_flooding,2181,299,0.13709307657038056,0.7216872994039432,0.8100381194409149,0.13709307657038056,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
flat_cnn,TierB_fixed_flooding_metadata,2181,299,0.13709307657038056,0.7216872994039432,0.8100381194409149,0.13709307657038056,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
flat_cnn,TierC_fixed_all_seven,2181,281,0.12883998165978908,0.7216872994039432,0.8214739517153749,0.12883998165978908,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
flat_cnn,TierC_adaptive_best,2181,76,0.03484640073360844,0.7216872994039432,0.951715374841169,0.03484640073360846,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",stored_artifact
