model,seed,fold,path,sha256,bytes,temperature,threshold_01,threshold_05,threshold_10,architecture,n_parameters
authguard_seq,7704,0,results/sprint_phase3/checkpoints/authguard_seq_s7704_f0.pt,9be15fad52f54b12dc08777f23e7fd29d7532d180e8179c9c8dfa7865ebbafb4,738073,1.7183167934417725,0.9293594769663931,0.8358699183004528,0.6306853502922765,AuthGuardFusion,181877.0
emulator_logreg,7704,0,results/sprint_phase3/checkpoints/emulator_logreg_s7704_f0.pt,faf339e8a4b5b200fcf49341f065267475d9762308558084e90921325eafd9f6,2291,1.6661614179611206,0.8921141686726249,0.8377327867835411,0.7697521040458325,Pipeline,
authguard_seq,7704,1,results/sprint_phase3/checkpoints/authguard_seq_s7704_f1.pt,59b6356b541f7495cb8f40c2b203cc6004a8ad5577be4f3aada2c627cc0f8dcb,738073,2.4565842151641846,0.8233010789239734,0.09148004586914996,0.06498115825527863,AuthGuardFusion,181877.0
emulator_logreg,7704,1,results/sprint_phase3/checkpoints/emulator_logreg_s7704_f1.pt,11e9fe51db8678171a2847680d3a9192c941c1704f6a9b264584bf2753a7979f,2291,0.7604113817214966,0.9549308428171458,0.0839932650937046,0.015490575699579495,Pipeline,
authguard_seq,7704,2,results/sprint_phase3/checkpoints/authguard_seq_s7704_f2.pt,e81b2f087ad572f66e08af3147b5e9a249dae14c19f08c90a597779f841a931f,738073,0.995019257068634,0.3400441456938893,0.028097282581328323,0.014761898065113759,AuthGuardFusion,181877.0
emulator_logreg,7704,2,results/sprint_phase3/checkpoints/emulator_logreg_s7704_f2.pt,ad610c2bd5eb1dfc507b76b004a4533387418f5715e6512212fb95a287132045,2291,1.0729213953018188,0.9197144593490981,0.6722747523170792,0.35644262795419857,Pipeline,
authguard_seq,7704,3,results/sprint_phase3/checkpoints/authguard_seq_s7704_f3.pt,9a150c12bb512ff469c8126733aee5c6ed1b1685cc4da2a10a2a9d718f861a3c,738073,2.1291322708129883,0.9581109679921992,0.7328233485038469,0.031587304922569906,AuthGuardFusion,181877.0
emulator_logreg,7704,3,results/sprint_phase3/checkpoints/emulator_logreg_s7704_f3.pt,7139555fd79c66f7e06bb26c98f911ad69ea609e2122f93d18ff730583cd8bda,2291,1.101357340812683,0.9937478802493147,0.843137216562728,0.18754495352741618,Pipeline,
authguard_seq,7704,4,results/sprint_phase3/checkpoints/authguard_seq_s7704_f4.pt,e047b1773d5994f7935586cfa3ca775b662f3d042aac22e12db9abbf12b32153,738073,4.808147430419922,0.6149662028152649,0.2610421912214922,0.21175639513433425,AuthGuardFusion,181877.0
emulator_logreg,7704,4,results/sprint_phase3/checkpoints/emulator_logreg_s7704_f4.pt,5097bbf8dc8ced0e015500e6e89354b6f16bd64eca65748fc95bcc05bb23103e,2291,1.6758711338043213,0.9641517687481554,0.7873964211563192,0.34264686930863386,Pipeline,
