model,tier,clean_detection,ASR_fixed_flood_oracle,ASR_best_of,CI95,n_eligible,n_observations,n_families,robust_recall_direct,robust_recall_product,seed_scope,fold_scope,provenance,ASR_beam_search,ASR_random_search
authguard_seq,A,0.8450252177900046,0.14921323928377644,0.14921323928377644,"[0.10523443961952027, 0.20292977941491044]",1843,2181,209,0.7189362677670793,0.7189362677670794,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",regenerated_experiment,,
authguard_seq,B,0.8450252177900046,,0.19696147585458493,"[0.14757778546550762, 0.2561742693172406]",1843,2181,209,0.6785878037597433,0.6785878037597433,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",regenerated_experiment,0.15897992403689637,0.19696147585458493
authguard_seq,C,0.8450252177900046,,0.20835594139989147,"[0.1577009848551307, 0.2682417383806006]",1843,2181,209,0.6689591930307198,0.6689591930307199,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",regenerated_experiment,0.15897992403689637,0.20672816060770483
emulator_logreg,A,0.8253094910591472,0.30833333333333335,0.30833333333333335,"[0.21817750969409735, 0.41279134752018853]",1800,2181,209,0.5708390646492435,0.5708390646492435,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",regenerated_experiment,,
emulator_logreg,B,0.8253094910591472,,0.5416666666666666,"[0.4269378549949883, 0.6454265107682418]",1800,2181,209,0.3782668500687758,0.3782668500687758,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",regenerated_experiment,0.43166666666666664,0.5416666666666666
emulator_logreg,C,0.8253094910591472,,0.5722222222222222,"[0.46148669121000846, 0.6752941731341606]",1800,2181,209,0.35304906006419073,0.3530490600641908,"[7702, 7703, 7704]","[0, 1, 2, 3, 4]",regenerated_experiment,0.45166666666666666,0.5361111111111111
flat_cnn,A,0.6836313617606602,0.8108651911468813,0.8108651911468813,"[0.7183091019233682, 0.8893621728488044]",497,727,209,0.12929848693259974,0.12929848693259974,[7702],"[0, 1, 2, 3, 4]",regenerated_experiment,,
flat_cnn,B,0.6836313617606602,,0.9356136820925554,"[0.8933587929249135, 0.9720003731343283]",497,727,209,0.04401650618982118,0.04401650618982116,[7702],"[0, 1, 2, 3, 4]",regenerated_experiment,0.8893360160965795,0.9356136820925554
flat_cnn,C,0.6836313617606602,,0.9476861167002012,"[0.9138653495105907, 0.9780445687572223]",497,727,209,0.03576341127922971,0.03576341127922972,[7702],"[0, 1, 2, 3, 4]",regenerated_experiment,0.9114688128772636,0.937625754527163
hist_ngram_xgb,A,0.6189821182943603,0.8111111111111111,0.8111111111111111,"[0.7538118127020427, 0.8662280701754386]",450,727,209,0.11691884456671252,0.1169188445667125,[7702],"[0, 1, 2, 3, 4]",regenerated_experiment,,
hist_ngram_xgb,B,0.6189821182943603,,0.9844444444444445,"[0.9674405965621841, 0.9972901560096682]",450,727,209,0.009628610729023384,0.009628610729023376,[7702],"[0, 1, 2, 3, 4]",regenerated_experiment,0.94,0.9844444444444445
hist_ngram_xgb,C,0.6189821182943603,,0.9911111111111112,"[0.9805555555555555, 0.9980843827608185]",450,727,209,0.005502063273727648,0.005502063273727614,[7702],"[0, 1, 2, 3, 4]",regenerated_experiment,0.9466666666666667,0.9844444444444445
