model,metric,historical,regenerated,delta
authguard_seq,clean_detection,0.8404401650618982,0.8363136176066025,-0.004126547455295726
authguard_seq,beam_ASR,0.15220949263502456,0.15625,0.0040405073649754375
authguard_seq,random_ASR,0.18821603927986907,0.19407894736842105,0.005862908088551971
emulator_logreg,clean_detection,0.8253094910591472,0.8253094910591472,0.0
emulator_logreg,beam_ASR,0.45166666666666666,0.45166666666666666,0.0
emulator_logreg,random_ASR,0.535,0.535,0.0
flat_cnn,clean_detection,0.6946354883081155,0.6836313617606602,-0.011004126547455306
flat_cnn,beam_ASR,0.902970297029703,0.9114688128772636,0.008498515847560562
flat_cnn,random_ASR,0.9366336633663367,0.937625754527163,0.000992091160826325
hist_ngram_xgb,clean_detection,0.6189821182943603,0.6189821182943603,0.0
hist_ngram_xgb,beam_ASR,0.9466666666666667,0.9466666666666667,0.0
hist_ngram_xgb,random_ASR,0.9844444444444445,0.9844444444444445,0.0
