condition,metric,model_a,model_b,source_a,source_b,condition_a,condition_b,comparison_type,observed_model_a,observed_model_b,observed_delta,ci_lower_95,ci_upper_95,ci_excludes_zero,favorable_direction,statistically_supported,bootstrap_replicates,bootstrap_seed,p_value,adjusted_p_value,p_value_policy,seed_level_model_a,seed_level_model_b
clean,AUPRC,authguard_seq,flat_cnn,baseline_v2,baseline_v2,clean,clean,primary_confirmatory,0.9244479428258328,0.8851973997149355,0.03925054311089726,0.00880025953683458,0.07261580595584059,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.9159484909587079, 0.9131619356375185, 0.9442334018812719]","[0.8833878466046861, 0.8739074737899275, 0.8982968787501928]"
clean,Recall@5%,authguard_seq,flat_cnn,baseline_v2,baseline_v2,clean,clean,primary_confirmatory,0.8326676628011823,0.711806975472304,0.12086068732887834,0.05016522500746424,0.19007182472984832,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.8146011186713619, 0.8525352791848115, 0.8308665905473737]","[0.6907919108443825, 0.6992665798100713, 0.7453624357624584]"
clean,Recall@1%,authguard_seq,flat_cnn,baseline_v2,baseline_v2,clean,clean,secondary_clean,0.5691287288392824,0.47409720726818877,0.09503152157109368,-0.0026375190476611416,0.1847942005480437,False,positive,False,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.591986401911354, 0.6117947442795303, 0.5036050403269632]","[0.465106552524313, 0.44337605506929895, 0.5138090142109544]"
clean,Recall@10%,authguard_seq,flat_cnn,baseline_v2,baseline_v2,clean,clean,secondary_clean,0.9171523916791259,0.7904002620998473,0.12675212957927862,0.07009104693667384,0.17464390283821948,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.8832344976816175, 0.8948252132121682, 0.9733974641435921]","[0.7368355574207038, 0.8140240831742365, 0.8203411457046015]"
clean,Brier,authguard_seq,flat_cnn,baseline_v2,baseline_v2,clean,clean,secondary_clean,0.07198092751072627,0.09940769612025697,-0.027426768609530708,-0.04166592749064152,-0.012735068532087364,True,negative,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.08711986154475232, 0.06994177897349214, 0.058881142013934365]","[0.0993421463197832, 0.10416953519537812, 0.09471140684560958]"
clean,AUPRC,authguard_seq,hist_ngram_xgb,baseline_v2,baseline_v2,clean,clean,primary_confirmatory,0.9244479428258328,0.8333278618794067,0.0911200809464261,0.044801393320466947,0.14012614924507327,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.9159484909587079, 0.9131619356375185, 0.9442334018812719]","[0.828344508996919, 0.8327738136175185, 0.8388652630237825]"
clean,Recall@5%,authguard_seq,hist_ngram_xgb,baseline_v2,baseline_v2,clean,clean,primary_confirmatory,0.8326676628011823,0.6152720992363089,0.21739556356487344,0.12417261857966039,0.31376857961561955,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.8146011186713619, 0.8525352791848115, 0.8308665905473737]","[0.5944099357546521, 0.6266519976162449, 0.6247543643380296]"
clean,Recall@1%,authguard_seq,hist_ngram_xgb,baseline_v2,baseline_v2,clean,clean,secondary_clean,0.5691287288392824,0.32001202995583394,0.2491166988834485,0.15682490940941773,0.34482997324560527,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.591986401911354, 0.6117947442795303, 0.5036050403269632]","[0.3312167033814911, 0.3354516243576917, 0.29336776212831894]"
clean,Recall@10%,authguard_seq,hist_ngram_xgb,baseline_v2,baseline_v2,clean,clean,secondary_clean,0.9171523916791259,0.7086570646200024,0.20849532705912344,0.1248744000559881,0.27454224967581015,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.8832344976816175, 0.8948252132121682, 0.9733974641435921]","[0.6880255756054944, 0.6941836237725567, 0.7437619944819566]"
clean,Brier,authguard_seq,hist_ngram_xgb,baseline_v2,baseline_v2,clean,clean,secondary_clean,0.07198092751072627,0.12698331031953222,-0.055002382808805955,-0.07677954548128764,-0.03315764726598533,True,negative,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.08711986154475232, 0.06994177897349214, 0.058881142013934365]","[0.13154311785074996, 0.12634236253433526, 0.12306445057351152]"
F200,AUPRC,authguard_seq,flat_cnn,robustness_operational_v2,robustness_operational_v2,F200,F200,supporting_robustness,0.9198254771666982,0.534967434881027,0.3848580422856711,0.30224193286189355,0.4721416551502168,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.9109580372693543, 0.9212164714564969, 0.9273019227742433]","[0.5288793385142802, 0.5231268537806422, 0.5528961123481588]"
F200,Recall@5%,authguard_seq,flat_cnn,robustness_operational_v2,robustness_operational_v2,F200,F200,supporting_robustness,0.7470142271194712,0.19119710281770733,0.5558171243017639,0.46321299897116575,0.6554495594018729,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.7550350620517211, 0.7148674023798491, 0.7711402169268429]","[0.17756496870850264, 0.19896898731193816, 0.19705735243268122]"
F200,AUPRC,authguard_seq,hist_ngram_xgb,robustness_operational_v2,robustness_operational_v2,F200,F200,supporting_robustness,0.9198254771666982,0.575575417640766,0.34425005952593213,0.2864615063322273,0.39654998839037237,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.9109580372693543, 0.9212164714564969, 0.9273019227742433]","[0.5744755074955477, 0.5797646738420424, 0.5724860715847082]"
F200,Recall@5%,authguard_seq,hist_ngram_xgb,robustness_operational_v2,robustness_operational_v2,F200,F200,supporting_robustness,0.7470142271194712,0.2263971110687298,0.5206171160507413,0.4420245445433946,0.6073567401835966,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.7550350620517211, 0.7148674023798491, 0.7711402169268429]","[0.2422218080382132, 0.2295841519605999, 0.20738537320737627]"
M3+F200,AUPRC,authguard_seq,flat_cnn,robustness_operational_v2,robustness_operational_v2,M3+F200,M3+F200,supporting_robustness,0.9123383794025838,0.5252814572253641,0.38705692217721965,0.3088539950472874,0.4683128505987289,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.909706956486831, 0.9085202252792802, 0.9187879564416399]","[0.5200278088805446, 0.5149620813134839, 0.5408544814820639]"
M3+F200,Recall@5%,authguard_seq,flat_cnn,robustness_operational_v2,robustness_operational_v2,M3+F200,M3+F200,supporting_robustness,0.7452866694877628,0.1847771322748596,0.5605095372129032,0.4710447210780115,0.6588403723690951,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.7596521038653744, 0.7128230204573249, 0.7633848841405891]","[0.16845213522211486, 0.19898487252460736, 0.18689438907785655]"
M3+F200,AUPRC,authguard_seq,hist_ngram_xgb,robustness_operational_v2,robustness_operational_v2,M3+F200,M3+F200,supporting_robustness,0.9123383794025838,0.5571018842495133,0.35523649515307043,0.2955177021285157,0.40891540763331313,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.909706956486831, 0.9085202252792802, 0.9187879564416399]","[0.5578288238728744, 0.5651564801432831, 0.5483203487323826]"
M3+F200,Recall@5%,authguard_seq,hist_ngram_xgb,robustness_operational_v2,robustness_operational_v2,M3+F200,M3+F200,supporting_robustness,0.7452866694877628,0.2023081572419951,0.5429785122457677,0.46731386677350023,0.6291744696292573,True,positive,True,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.7596521038653744, 0.7128230204573249, 0.7633848841405891]","[0.20094138338141096, 0.21993949463178905, 0.18604359371278528]"
F200_minus_M0,AUPRC,authguard_seq,authguard_seq,robustness_operational_v2,robustness_operational_v2,F200,M0,supporting_clean_to_transformed,0.9198254771666982,0.9323929056872453,-0.012567428520547153,-0.02954536940589409,-0.0024925843102351583,True,positive,False,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.9109580372693543, 0.9212164714564969, 0.9273019227742433]","[0.9299403863272147, 0.926886807415077, 0.9403515233194442]"
F200_minus_M0,Recall@5%,authguard_seq,authguard_seq,robustness_operational_v2,robustness_operational_v2,F200,M0,supporting_clean_to_transformed,0.7470142271194712,0.8506696707823148,-0.10365544366284363,-0.15545102324037144,-0.06693317734235874,True,positive,False,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.7550350620517211, 0.7148674023798491, 0.7711402169268429]","[0.871761341774743, 0.8436644595923412, 0.8365832109798603]"
M3+F200_minus_M0,AUPRC,authguard_seq,authguard_seq,robustness_operational_v2,robustness_operational_v2,M3+F200,M0,supporting_clean_to_transformed,0.9123383794025838,0.9323929056872453,-0.020054526284661534,-0.0365110008356325,-0.00916516650310275,True,positive,False,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.909706956486831, 0.9085202252792802, 0.9187879564416399]","[0.9299403863272147, 0.926886807415077, 0.9403515233194442]"
M3+F200_minus_M0,Recall@5%,authguard_seq,authguard_seq,robustness_operational_v2,robustness_operational_v2,M3+F200,M0,supporting_clean_to_transformed,0.7452866694877628,0.8506696707823148,-0.10538300129455203,-0.15841022086120798,-0.06721090390164561,True,positive,False,10000,77022026,,,not_reported_CI_primary_Holm_not_applicable,"[0.7596521038653744, 0.7128230204573249, 0.7633848841405891]","[0.871761341774743, 0.8436644595923412, 0.8365832109798603]"
