fold,seed,model,target_FPR,benign_general_FPR,n
0,7702,clean,0.01,0.0,797
0,7702,clean,0.05,0.002509410288582183,797
0,7702,clean,0.1,0.01756587202007528,797
0,7702,ordinary_aug,0.01,0.0890840652446675,797
0,7702,ordinary_aug,0.05,0.15934755332496864,797
0,7702,ordinary_aug,0.1,0.1944792973651192,797
0,7702,source_balanced_aug,0.01,0.0,797
0,7702,source_balanced_aug,0.05,0.0,797
0,7702,source_balanced_aug,0.1,0.026348808030112924,797
0,7702,tc_hard,0.01,0.0,797
0,7702,tc_hard,0.05,0.060225846925972396,797
0,7702,tc_hard,0.1,0.1329987452948557,797
0,7703,clean,0.01,0.0,797
0,7703,clean,0.05,0.0037641154328732747,797
0,7703,clean,0.1,0.02132998745294856,797
0,7703,ordinary_aug,0.01,0.08155583437892096,797
0,7703,ordinary_aug,0.05,0.14303638644918445,797
0,7703,ordinary_aug,0.1,0.178168130489335,797
0,7703,source_balanced_aug,0.01,0.0,797
0,7703,source_balanced_aug,0.05,0.0037641154328732747,797
0,7703,source_balanced_aug,0.1,0.025094102885821833,797
0,7703,tc_hard,0.01,0.0,797
0,7703,tc_hard,0.05,0.03513174404015056,797
0,7703,tc_hard,0.1,0.09661229611041405,797
0,7704,clean,0.01,0.0,797
0,7704,clean,0.05,0.0037641154328732747,797
0,7704,clean,0.1,0.015056461731493099,797
0,7704,ordinary_aug,0.01,0.08657465495608532,797
0,7704,ordinary_aug,0.05,0.1468005018820577,797
0,7704,ordinary_aug,0.1,0.2710163111668758,797
0,7704,source_balanced_aug,0.01,0.0,797
0,7704,source_balanced_aug,0.05,0.002509410288582183,797
0,7704,source_balanced_aug,0.1,0.027603513174404015,797
0,7704,tc_hard,0.01,0.0,797
0,7704,tc_hard,0.05,0.006273525721455458,797
0,7704,tc_hard,0.1,0.1191969887076537,797
1,7702,clean,0.01,0.0075282308657465494,797
1,7702,clean,0.05,0.04265997490589712,797
1,7702,clean,0.1,0.056461731493099125,797
1,7702,ordinary_aug,0.01,0.02383939774153074,797
1,7702,ordinary_aug,0.05,0.3111668757841907,797
1,7702,ordinary_aug,0.1,0.5156838143036386,797
1,7702,source_balanced_aug,0.01,0.0,797
1,7702,source_balanced_aug,0.05,0.02383939774153074,797
1,7702,source_balanced_aug,0.1,0.0890840652446675,797
1,7702,tc_hard,0.01,0.06273525721455459,797
1,7702,tc_hard,0.05,0.22208281053952322,797
1,7702,tc_hard,0.1,0.34127979924717694,797
1,7703,clean,0.01,0.005018820577164366,797
1,7703,clean,0.05,0.05520702634880803,797
1,7703,clean,0.1,0.06649937264742785,797
1,7703,ordinary_aug,0.01,0.018820577164366373,797
1,7703,ordinary_aug,0.05,0.3877038895859473,797
1,7703,ordinary_aug,0.1,0.5382685069008782,797
1,7703,source_balanced_aug,0.01,0.0,797
1,7703,source_balanced_aug,0.05,0.025094102885821833,797
1,7703,source_balanced_aug,0.1,0.050188205771643665,797
1,7703,tc_hard,0.01,0.012547051442910916,797
1,7703,tc_hard,0.05,0.12421580928481807,797
1,7703,tc_hard,0.1,0.3136762860727729,797
1,7704,clean,0.01,0.00878293601003764,797
1,7704,clean,0.05,0.056461731493099125,797
1,7704,clean,0.1,0.0890840652446675,797
1,7704,ordinary_aug,0.01,0.05269761606022585,797
1,7704,ordinary_aug,0.05,0.3199498117942284,797
1,7704,ordinary_aug,0.1,0.44165621079046424,797
1,7704,source_balanced_aug,0.01,0.0,797
1,7704,source_balanced_aug,0.05,0.02258469259723965,797
1,7704,source_balanced_aug,0.1,0.08531994981179424,797
1,7704,tc_hard,0.01,0.05897114178168131,797
1,7704,tc_hard,0.05,0.15181932245922208,797
1,7704,tc_hard,0.1,0.21706398996235884,797
2,7702,clean,0.01,0.005018820577164366,797
2,7702,clean,0.05,0.0451693851944793,797
2,7702,clean,0.1,0.04893350062735257,797
2,7702,ordinary_aug,0.01,0.04642409033877039,797
2,7702,ordinary_aug,0.05,0.34002509410288584,797
2,7702,ordinary_aug,0.1,0.46800501882057716,797
2,7702,source_balanced_aug,0.01,0.0037641154328732747,797
2,7702,source_balanced_aug,0.05,0.09284818067754078,797
2,7702,source_balanced_aug,0.1,0.12045169385194479,797
2,7702,tc_hard,0.01,0.056461731493099125,797
2,7702,tc_hard,0.05,0.0903387703889586,797
2,7702,tc_hard,0.1,0.1329987452948557,797
2,7703,clean,0.01,0.006273525721455458,797
2,7703,clean,0.05,0.0451693851944793,797
2,7703,clean,0.1,0.0451693851944793,797
2,7703,ordinary_aug,0.01,0.053952321204516936,797
2,7703,ordinary_aug,0.05,0.32622333751568383,797
2,7703,ordinary_aug,0.1,0.42785445420326224,797
2,7703,source_balanced_aug,0.01,0.0,797
2,7703,source_balanced_aug,0.05,0.07779171894604768,797
2,7703,source_balanced_aug,0.1,0.0890840652446675,797
2,7703,tc_hard,0.01,0.013801756587202008,797
2,7703,tc_hard,0.05,0.16813048933500627,797
2,7703,tc_hard,0.1,0.16813048933500627,797
2,7704,clean,0.01,0.005018820577164366,797
2,7704,clean,0.05,0.04015056461731493,797
2,7704,clean,0.1,0.10163111668757842,797
2,7704,ordinary_aug,0.01,0.06649937264742785,797
2,7704,ordinary_aug,0.05,0.3199498117942284,797
2,7704,ordinary_aug,0.1,0.42785445420326224,797
2,7704,source_balanced_aug,0.01,0.002509410288582183,797
2,7704,source_balanced_aug,0.05,0.028858218318695106,797
2,7704,source_balanced_aug,0.1,0.0451693851944793,797
2,7704,tc_hard,0.01,0.050188205771643665,797
2,7704,tc_hard,0.05,0.17063989962358847,797
2,7704,tc_hard,0.1,0.3613550815558344,797
3,7702,clean,0.01,0.0,797
3,7702,clean,0.05,0.002509410288582183,797
3,7702,clean,0.1,0.020075282308657464,797
3,7702,ordinary_aug,0.01,0.026348808030112924,797
3,7702,ordinary_aug,0.05,0.21329987452948557,797
3,7702,ordinary_aug,0.1,0.4742785445420326,797
3,7702,source_balanced_aug,0.01,0.0,797
3,7702,source_balanced_aug,0.05,0.006273525721455458,797
3,7702,source_balanced_aug,0.1,0.05144291091593475,797
3,7702,tc_hard,0.01,0.04140526976160602,797
3,7702,tc_hard,0.05,0.07026348808030113,797
3,7702,tc_hard,0.1,0.21580928481806774,797
3,7703,clean,0.01,0.0,797
3,7703,clean,0.05,0.006273525721455458,797
3,7703,clean,0.1,0.018820577164366373,797
3,7703,ordinary_aug,0.01,0.06273525721455459,797
3,7703,ordinary_aug,0.05,0.164366373902133,797
3,7703,ordinary_aug,0.1,0.27352572145545795,797
3,7703,source_balanced_aug,0.01,0.0,797
3,7703,source_balanced_aug,0.05,0.011292346298619825,797
3,7703,source_balanced_aug,0.1,0.033877038895859475,797
3,7703,tc_hard,0.01,0.037641154328732745,797
3,7703,tc_hard,0.05,0.08657465495608532,797
3,7703,tc_hard,0.1,0.19949811794228356,797
3,7704,clean,0.01,0.0,797
3,7704,clean,0.05,0.002509410288582183,797
3,7704,clean,0.1,0.015056461731493099,797
3,7704,ordinary_aug,0.01,0.09159347553324969,797
3,7704,ordinary_aug,0.05,0.2848180677540778,797
3,7704,ordinary_aug,0.1,0.45671267252195735,797
3,7704,source_balanced_aug,0.01,0.0,797
3,7704,source_balanced_aug,0.05,0.012547051442910916,797
3,7704,source_balanced_aug,0.1,0.06649937264742785,797
3,7704,tc_hard,0.01,0.0,797
3,7704,tc_hard,0.05,0.07653701380175659,797
3,7704,tc_hard,0.1,0.2973651191969887,797
4,7702,clean,0.01,0.006273525721455458,797
4,7702,clean,0.05,0.07151819322459223,797
4,7702,clean,0.1,0.15181932245922208,797
4,7702,ordinary_aug,0.01,0.14429109159347553,797
4,7702,ordinary_aug,0.05,0.22710163111668757,797
4,7702,ordinary_aug,0.1,0.4341279799247177,797
4,7702,source_balanced_aug,0.01,0.005018820577164366,797
4,7702,source_balanced_aug,0.05,0.01756587202007528,797
4,7702,source_balanced_aug,0.1,0.15056461731493098,797
4,7702,tc_hard,0.01,0.01756587202007528,797
4,7702,tc_hard,0.05,0.0890840652446675,797
4,7702,tc_hard,0.1,0.19071518193224593,797
4,7703,clean,0.01,0.005018820577164366,797
4,7703,clean,0.05,0.09535759096612297,797
4,7703,clean,0.1,0.1794228356336261,797
4,7703,ordinary_aug,0.01,0.12923462986198245,797
4,7703,ordinary_aug,0.05,0.2095357590966123,797
4,7703,ordinary_aug,0.1,0.35257214554579674,797
4,7703,source_balanced_aug,0.01,0.0037641154328732747,797
4,7703,source_balanced_aug,0.05,0.026348808030112924,797
4,7703,source_balanced_aug,0.1,0.1053952321204517,797
4,7703,tc_hard,0.01,0.056461731493099125,797
4,7703,tc_hard,0.05,0.10037641154328733,797
4,7703,tc_hard,0.1,0.23588456712672523,797
4,7704,clean,0.01,0.00878293601003764,797
4,7704,clean,0.05,0.06273525721455459,797
4,7704,clean,0.1,0.12923462986198245,797
4,7704,ordinary_aug,0.01,0.15558343789209536,797
4,7704,ordinary_aug,0.05,0.2233375156838143,797
4,7704,ordinary_aug,0.1,0.3437892095357591,797
4,7704,source_balanced_aug,0.01,0.005018820577164366,797
4,7704,source_balanced_aug,0.05,0.02258469259723965,797
4,7704,source_balanced_aug,0.1,0.11417816813048934,797
4,7704,tc_hard,0.01,0.05897114178168131,797
4,7704,tc_hard,0.05,0.09535759096612297,797
4,7704,tc_hard,0.1,0.2245922208281054,797
