fold,seed,model,rows,total_weight
0,7702,clean,1350,1350.0
0,7702,ordinary_aug,3495,3495.0
0,7702,source_balanced_aug,8100,1350.0
0,7702,tc_hard,2699,1350.0
0,7703,clean,1350,1350.0
0,7703,ordinary_aug,3495,3495.0
0,7703,source_balanced_aug,8100,1350.0
0,7703,tc_hard,2699,1350.0
0,7704,clean,1350,1350.0
0,7704,ordinary_aug,3495,3495.0
0,7704,source_balanced_aug,8100,1350.0
0,7704,tc_hard,2700,1350.0
1,7702,clean,1362,1362.0
1,7702,ordinary_aug,3542,3542.0
1,7702,source_balanced_aug,8172,1362.0
1,7702,tc_hard,2723,1362.0
1,7703,clean,1362,1362.0
1,7703,ordinary_aug,3542,3542.0
1,7703,source_balanced_aug,8172,1362.0
1,7703,tc_hard,2723,1362.0
1,7704,clean,1362,1362.0
1,7704,ordinary_aug,3542,3542.0
1,7704,source_balanced_aug,8172,1362.0
1,7704,tc_hard,2723,1362.0
2,7702,clean,1360,1360.0
2,7702,ordinary_aug,3805,3805.0
2,7702,source_balanced_aug,8160,1360.0
2,7702,tc_hard,2718,1360.0
2,7703,clean,1360,1360.0
2,7703,ordinary_aug,3805,3805.0
2,7703,source_balanced_aug,8160,1360.0
2,7703,tc_hard,2718,1360.0
2,7704,clean,1360,1360.0
2,7704,ordinary_aug,3805,3805.0
2,7704,source_balanced_aug,8160,1360.0
2,7704,tc_hard,2719,1360.0
3,7702,clean,1389,1389.0
3,7702,ordinary_aug,3604,3604.0
3,7702,source_balanced_aug,8334,1389.0
3,7702,tc_hard,2778,1389.0
3,7703,clean,1389,1389.0
3,7703,ordinary_aug,3604,3604.0
3,7703,source_balanced_aug,8334,1389.0
3,7703,tc_hard,2777,1389.0
3,7704,clean,1389,1389.0
3,7704,ordinary_aug,3604,3604.0
3,7704,source_balanced_aug,8334,1389.0
3,7704,tc_hard,2777,1389.0
4,7702,clean,1379,1379.0
4,7702,ordinary_aug,3299,3299.0
4,7702,source_balanced_aug,8274,1379.0
4,7702,tc_hard,2757,1379.0
4,7703,clean,1379,1379.0
4,7703,ordinary_aug,3299,3299.0
4,7703,source_balanced_aug,8274,1379.0
4,7703,tc_hard,2758,1379.0
4,7704,clean,1379,1379.0
4,7704,ordinary_aug,3299,3299.0
4,7704,source_balanced_aug,8274,1379.0
4,7704,tc_hard,2758,1379.0
