project,chain,address,runtime_bytecode_sha256,code_bytes,documentation_url,in_v2_primary_benchmark,v2_family_id,v2_family_size,v2_population,v2_sample_id,audit_evidence,evidence_of_actual_eip7702_use,deployment_date,project_bytecode_key
MetaMask_EIP7702StatelessDeleGator,ethereum,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,deb51590e22cdf9f70292f763d6d3aea8b078148aae082f3af1eca19bf0aa58c,11185,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,False,,,,,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,MetaMask_EIP7702StatelessDeleGator:deb51590e22cdf9f70292f763d6d3aea8b078148aae082f3af1eca19bf0aa58c
MetaMask_EIP7702StatelessDeleGator,base,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,4353bc53e63ffaeeba7293af252a0bcef724a1c0419c5ed63298fa0788067d67,11185,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,True,F00215,6.0,PRIMARY_EVALUATION,base:0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,MetaMask_EIP7702StatelessDeleGator:4353bc53e63ffaeeba7293af252a0bcef724a1c0419c5ed63298fa0788067d67
MetaMask_EIP7702StatelessDeleGator,bnb,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,6e4c6247a63c1d8cfc647f21f0ca932fa3e7c03ddae1cbf590351eee39ede550,11185,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,True,F00215,6.0,PRIMARY_EVALUATION,bnb:0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,MetaMask_EIP7702StatelessDeleGator:6e4c6247a63c1d8cfc647f21f0ca932fa3e7c03ddae1cbf590351eee39ede550
MetaMask_EIP7702StatelessDeleGator,polygon,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,93c1b1571a3ed6ba80522cc565cda4d6a5aa8c155121a5fbf847fd719fbe329c,11185,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,True,F00215,6.0,PRIMARY_EVALUATION,polygon:0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,MetaMask_EIP7702StatelessDeleGator:93c1b1571a3ed6ba80522cc565cda4d6a5aa8c155121a5fbf847fd719fbe329c
MetaMask_EIP7702StatelessDeleGator,arbitrum,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,e3e3d989c9599c7f44799f7859d4ef08f629d0558ece267eda604973d62c7c85,11185,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,True,F00215,6.0,PRIMARY_EVALUATION,arbitrum:0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,MetaMask_EIP7702StatelessDeleGator:e3e3d989c9599c7f44799f7859d4ef08f629d0558ece267eda604973d62c7c85
MetaMask_EIP7702StatelessDeleGator,optimism,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,c9ec13d4956791980ff7bf48dd71d748acb3ca68e0cbed32d13ac97f6278c13d,11185,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,True,F00215,6.0,PRIMARY_EVALUATION,optimism:0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,MetaMask_EIP7702StatelessDeleGator:c9ec13d4956791980ff7bf48dd71d748acb3ca68e0cbed32d13ac97f6278c13d
MetaMask_EIP7702StatelessDeleGator,gnosis,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,54d1d462b7e78794f2813dc9f65ea9c593a37deb443f5bcc134c75e5ab5aa728,11185,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,True,F00215,6.0,PRIMARY_EVALUATION,gnosis:0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,MetaMask_EIP7702StatelessDeleGator:54d1d462b7e78794f2813dc9f65ea9c593a37deb443f5bcc134c75e5ab5aa728
Ambire_EIP7702Account,ethereum,0x5A7FC11397E9a8AD41BF10bf13F22B0a63f96f6d,fdadb553cb1e210742e748822cf295f7baab01373ddc3ab79c026b9c710f25a4,11162,https://github.com/AmbireTech/ambire-common/blob/v2/src/consts/deploy.ts,False,,,,,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,Ambire_EIP7702Account:fdadb553cb1e210742e748822cf295f7baab01373ddc3ab79c026b9c710f25a4
Ambire_EIP7702Account,bnb,0x5A7FC11397E9a8AD41BF10bf13F22B0a63f96f6d,fdadb553cb1e210742e748822cf295f7baab01373ddc3ab79c026b9c710f25a4,11162,https://github.com/AmbireTech/ambire-common/blob/v2/src/consts/deploy.ts,False,,,,,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,Ambire_EIP7702Account:fdadb553cb1e210742e748822cf295f7baab01373ddc3ab79c026b9c710f25a4
ZeroDev_Kernel_v3.3_7702,ethereum,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,688fb69cd6f977a5df75afbd139aabf3c1f55dde7e6143d72659b8b67ad90533,24469,https://github.com/zerodevapp/sdk/blob/main/packages/core/constants.ts,True,F00217,1.0,QUALITATIVE_CONTROL,ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),NOT_AVAILABLE_OFFLINE,ZeroDev_Kernel_v3.3_7702:688fb69cd6f977a5df75afbd139aabf3c1f55dde7e6143d72659b8b67ad90533
