project,official_documentation,official_deployment_registry,chain,address,runtime_hash_recorded,runtime_hash_live,runtime_source_match,implementation_address,verified_source,source_provider,contract_name,compiler_version,audit_documentation,first_observed_eip7702_authorization,authorization_count,bytecode_family,chain_specific_bytecode_variation,provenance_confidence,category
MetaMask_EIP7702StatelessDeleGator,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,ethereum,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,deb51590e22cdf9f70292f763d6d3aea8b078148aae082f3af1eca19bf0aa58c,deb51590e22cdf9f70292f763d6d3aea8b078148aae082f3af1eca19bf0aa58c,MATCH,,True,sourcify,EIP7702StatelessDeleGator,v0.8.23+commit.f704f362,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
MetaMask_EIP7702StatelessDeleGator,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,base,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,4353bc53e63ffaeeba7293af252a0bcef724a1c0419c5ed63298fa0788067d67,4353bc53e63ffaeeba7293af252a0bcef724a1c0419c5ed63298fa0788067d67,MATCH,,True,sourcify,EIP7702StatelessDeleGator,0.8.23+commit.f704f362,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00215,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
MetaMask_EIP7702StatelessDeleGator,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,bnb,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,6e4c6247a63c1d8cfc647f21f0ca932fa3e7c03ddae1cbf590351eee39ede550,6e4c6247a63c1d8cfc647f21f0ca932fa3e7c03ddae1cbf590351eee39ede550,MATCH,,True,sourcify,,,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00215,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
MetaMask_EIP7702StatelessDeleGator,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,polygon,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,93c1b1571a3ed6ba80522cc565cda4d6a5aa8c155121a5fbf847fd719fbe329c,93c1b1571a3ed6ba80522cc565cda4d6a5aa8c155121a5fbf847fd719fbe329c,MATCH,,True,sourcify,EIP7702StatelessDeleGator,0.8.23+commit.f704f362,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00215,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
MetaMask_EIP7702StatelessDeleGator,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,arbitrum,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,e3e3d989c9599c7f44799f7859d4ef08f629d0558ece267eda604973d62c7c85,e3e3d989c9599c7f44799f7859d4ef08f629d0558ece267eda604973d62c7c85,MATCH,,True,sourcify,EIP7702StatelessDeleGator,0.8.23+commit.f704f362,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00215,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
MetaMask_EIP7702StatelessDeleGator,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,optimism,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,c9ec13d4956791980ff7bf48dd71d748acb3ca68e0cbed32d13ac97f6278c13d,c9ec13d4956791980ff7bf48dd71d748acb3ca68e0cbed32d13ac97f6278c13d,MATCH,,True,sourcify,EIP7702StatelessDeleGator,v0.8.23+commit.f704f362,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00215,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
MetaMask_EIP7702StatelessDeleGator,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,https://github.com/MetaMask/delegation-framework/blob/main/documents/Deployments.md,gnosis,0x63c0c19a282a1B52b07dD5a65b58948A07DAE32B,54d1d462b7e78794f2813dc9f65ea9c593a37deb443f5bcc134c75e5ab5aa728,54d1d462b7e78794f2813dc9f65ea9c593a37deb443f5bcc134c75e5ab5aa728,MATCH,,True,sourcify,EIP7702StatelessDeleGator,0.8.23+commit.f704f362,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00215,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
Ambire_EIP7702Account,https://github.com/AmbireTech/ambire-common/blob/v2/src/consts/deploy.ts,https://github.com/AmbireTech/ambire-common/blob/v2/src/consts/deploy.ts,ethereum,0x5A7FC11397E9a8AD41BF10bf13F22B0a63f96f6d,fdadb553cb1e210742e748822cf295f7baab01373ddc3ab79c026b9c710f25a4,fdadb553cb1e210742e748822cf295f7baab01373ddc3ab79c026b9c710f25a4,MATCH,,True,blockscout,AmbireAccount7702,v0.8.19+commit.7dd6d404,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
ZeroDev_Kernel_v3.3_7702,https://github.com/zerodevapp/sdk/blob/main/packages/core/constants.ts,https://github.com/zerodevapp/sdk/blob/main/packages/core/constants.ts,ethereum,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,688fb69cd6f977a5df75afbd139aabf3c1f55dde7e6143d72659b8b67ad90533,688fb69cd6f977a5df75afbd139aabf3c1f55dde7e6143d72659b8b67ad90533,MATCH,,True,sourcify,Kernel,0.8.28+commit.7893614a,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00217,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
ZeroDev_Kernel_v3.3_7702,https://github.com/zerodevapp/sdk/blob/main/packages/core/constants.ts,https://github.com/zerodevapp/sdk/blob/main/packages/core/constants.ts,optimism,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,d1d1ce003806a6e13613aac80a9cc3da77d1e8363c4bd7129fb09100a4adb487,d1d1ce003806a6e13613aac80a9cc3da77d1e8363c4bd7129fb09100a4adb487,MATCH,,True,sourcify,Kernel,0.8.28+commit.7893614a,NOT_AVAILABLE_OFFLINE: no third-party audit report URL is recorded in SEED_DELEGATES; only the project's own deployment documentation is cited,NOT_VERIFIED_ONCHAIN: no authorization-list transaction was observed for this address in this offline pass (requires the temporal collector or an archive-node query),,F00708,unique_bytecode_this_row -- see legitimate_candidates_summary.json byte_identical_across_all_deployed_chains for the project-level answer,HIGH,VERIFIED_LEGITIMATE_CONTROL
