item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0x00000000002da3a265e6718f233b00f26bd38ef0,D0001,1,0x356c5e481ce5d18d657e459b2fac16415e8bb910,0x9c8544364f8ebf09de558b1bcddf5fab09340cd9,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x000004a52b5393195591c0a9fe4510b04cdaa8ad,D0002,1,0xb6afd7dcf48ed53fdea3d304bbb2179ee24d209c,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x000004d1d0d37d0af6d5cbf38b8452243deb1691,D0003,1,0xf6097e5c8b4df1561f7f1afa9508d3041ef066b4,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x003eddc618e7135f6683d13e22d601f61cd7cc4e,D0004,1,0xd1c63d26ecec4b9265233f1fd0bfe86ab001e1e5,0xe51a728e8516422503f078707022b841ad093739,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x02ee251b0cf63d5f9a17134ad9cf3ecb881fa99e,D0005,1,0x18a0600ad8eb0d6734499a2f3ae3097100d5c0f9,0xd9bc5189fa908e9626ff0713d6a979a639566f48,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x03fcd730e375f77483e262d052a5ad84f69c4d44,D0006,1,0x4fd8608ea002829d0478696f5b3330cf43761ea1,0x51158f0e10fca1fad380b7a2e74034ff058954bb,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x06d79b53a238e5f27de66b8c22175e698e3a790d,D0007,2,0x4de23f3f0fb3318287378adbde030cf61714b2f3,0xcc592ef7c86a7e4d8fa6a725b1244bd80133aa52,EOA,SHARED_AUTHORITY_EOA
ethereum:0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b,D0008,1,0x785bc2484a15dc9a8b644024fc142e8bca1289ae,0xfe824df1259c2ee04395d50dd9dc85d64abea050,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x0db5c09fc1483df28c46a5517768af299bf25e25,D0009,3,0xd32a221d4a671724ad666689cc5cc4d103fb13bc,0xd32a221d4a671724ad666689cc5cc4d103fb13bc,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0x0df4cf0d2c382a656ea9565c60e37e1042958d9c,D0010,1,0xcc399f359f02938f21ed8d5778cd72388adbfc2d,0xcc399f359f02938f21ed8d5778cd72388adbfc2d,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x0e51fd1cb32e7bf563d32889daa5bc6dd01bf390,D0011,2,0x8fab2c2fe3052d5898207748c5b15d59feab9570,0x54ba52cbd043b0b2e11a6823a910360e31bb2544,EOA,SHARED_DEPLOYER_EOA
ethereum:0x0eeac05b466f24b56e97c00b2b7194a037e8b1c5,D0012,1,0xadf3d2049c2a037e15373269cc3d4e45d862d787,0xb5f55416fe7ac336fd58e7d7feb524cad7e42a01,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x10f2bec74f9459a875094f49dc2ec2c336af9a51,D0013,1,0x0e63ee1a039bcc422b1baaf65c7ae30c497d3fc8,0x0e63ee1a039bcc422b1baaf65c7ae30c497d3fc8,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x129541f53534def750220b2b160c5c1beb305950,D0014,1,0xb66d596ed4cc0cfb3c6ceeb7bff4b00bbf72fac8,0xf7fe01661746367e32565d48e5c5a916959a1683,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x13c43de5464d36ae6cf54f6ca3a785e05c52fca0,D0015,1,0xf4d6471bd70cdcea435a3301611883524308e27f,0xc0e7dfb3d314c2f3a8988180d6f5536a0cbcdbe7,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x169f7754f731d9ab583578bc6a7c869782717c0c,D0016,2,0xe0ffa990e88962cdcd2208b5357e9a76e6802bde,0xdb9daeef011b7120b3e164a3f75a785fce812c5d,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
ethereum:0x1aa15d2c1683e8f831376a4a855e5017fba97f41,D0017,1,0x082f704e5e777f842abce9a35427bcece8e2b4d5,0x2689dec7f57719c997268062b046cb0d016eb30a,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x1d8199e344ddf1f852c93c396a0401e919f6b450,D0007,2,0x4de23f3f0fb3318287378adbde030cf61714b2f3,0x5d7b968b2e04d5b3e7aed6bbb3df744c26f6d447,EOA,SHARED_AUTHORITY_EOA
ethereum:0x1f0cbf6df751f7b86980000dbd2bd0426878454b,D0018,2,0x5d557f7a73c7494be0dceb5dbf8c5c209811fda6,0xeb4c1fe541e5361340f10b5c712d82aa6e441319,EOA,SHARED_DEPLOYER_EOA
ethereum:0x1f760b5dfe50b7b4e33533571b3cd82ee58b2d89,D0019,1,0x58d70bfa5b7def2b44c2b6c6e1f50bed4950b4d6,0x6e08499d0c630b4c4e009adede1b097326a04a80,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x211aea658c4f2492a7586b65299f1dccf2cd66d0,D0020,1,0xcc66f4f145d0eba9049c4eb6ca10950e4e24ee39,0xcc66f4f145d0eba9049c4eb6ca10950e4e24ee39,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x213fc223f2e7e1ec29a0d18bb950f9a431a5b112,D0021,1,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x585cf81e0c34b08fb4234afd97efab826b003849,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x232830c9889435ed44935fd19f2989f1f380a4d7,D0022,1,0x162dc2f6290ae45694d468f4411718fb1d3951e0,0x0da523631023162c0b45aaba99ebfb7505d42fa0,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x23875aa0ead846c3e0b47337d9bb8a8e537dea72,D0023,1,0x0e457324f0c6125b20392341cdeb7bf9bcb02322,0x6969698f9369abf880d1b1a6fe0e64de0f61528b,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x242e809094f7fa83763119988d84e4f4d9528713,D0024,1,0x35fb45eec293017dfb42486c82592f609065f017,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x268fd06baf8b4198c210a122aa7ff328f1f33233,D0025,3,0x8fffbf1e56fbf5bb17e8cb5d839fde8d610564cd,0x976c924d816d31c476c7912c81322dc2adc7240b,EOA,SHARED_DEPLOYER_EOA
ethereum:0x2726e47cbe369d21b6fcb4a5000697f726e3bef1,D0026,1,0x32b7979a363ea4f44aaa911ed71312b4c95ee86c,0xed85346a1057f234a94282a839fe97365088d440,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x27752000c3504d3fec86d50af91f02bc013ec95e,D0027,1,0x4c0b4c8e618268b16af1996455996f6550abac6b,0x4c0b4c8e618268b16af1996455996f6550abac6b,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x2969d076bfb296e2ff3f4d26043457e47b01f6c7,D0028,1,0xbb4a12647054460b8630851d7a6dc83584b6462f,0x0005bb7a3bf95a6f77a87af5e9cd85cd57e2ab07,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x2a6eec61006626b12f1bdccaa409487ed6f47bad,D0029,1,0x423c8a3a21d66cb2c6d91cb851009534d0adc5b8,0xadfd40a2aa379840732a4fb643512a669d58af71,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x2c6143ff3cadde88d652f1e644b09e9f3f7aa41a,D0030,1,0xa1614195df940b6b8d904421540c7faec08a95b7,0xa3a041f3997b1f9206406242e91f435b48ad0bc2,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x2e5d4f3751ed2f7b4e180143cf5e352043042e3b,D0031,1,0x00000000fd3a7b3fa5bcfa843c648714b11e089b,0x00000000fd3a7b3fa5bcfa843c648714b11e089b,CONTRACT,SINGLETON_NO_MUST_LINK
