control_id,project,classification,new_project_endpoint_eligible,canonical_unseen_at_0_85,actual_use_status,coverage,authority_context_status,model,score_mean,score_min,score_max,threshold_mean,n_seed_warn,consensus_decision
LEGIT-LINEAGE-001,Porto,NEW_IMPLEMENTATION_KNOWN_PROJECT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_full,0.4561759142732929,0.41330181608019656,0.5214203636404648,0.5545694091891941,0,DEFER
LEGIT-LINEAGE-001,Porto,NEW_IMPLEMENTATION_KNOWN_PROJECT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_project_balanced,0.38186201932309355,0.3441709903844353,0.4388544344110495,0.6769524693542065,0,DEFER
LEGIT-LINEAGE-001,Porto,NEW_IMPLEMENTATION_KNOWN_PROJECT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_untyped_guards,0.5653458232575305,0.521754086606981,0.5953891917667788,0.5725368192178144,2,WARN
LEGIT-LINEAGE-001,Porto,NEW_IMPLEMENTATION_KNOWN_PROJECT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,hist_ngram_xgb,0.18201316396395364,0.17106805741786957,0.18892808258533478,0.33092360695203143,0,DEFER
LEGIT-LINEAGE-001,Porto,NEW_IMPLEMENTATION_KNOWN_PROJECT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,sequence,0.09146645851433277,0.025870850309729576,0.1515839844942093,0.6497087279955546,0,DEFER
LEGIT-LINEAGE-002,Rhinestone Nexus,KNOWN_LINEAGE_NEW_DEPLOYMENT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_full,0.7630978040625732,0.7378077714587243,0.810761704787288,0.5545694091891941,3,WARN
LEGIT-LINEAGE-002,Rhinestone Nexus,KNOWN_LINEAGE_NEW_DEPLOYMENT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_project_balanced,0.04897337601647361,0.04364703409061479,0.052743717831213136,0.6769524693542065,0,DEFER
LEGIT-LINEAGE-002,Rhinestone Nexus,KNOWN_LINEAGE_NEW_DEPLOYMENT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_untyped_guards,0.7722257593583487,0.7523567940148099,0.8083812902724495,0.5725368192178144,3,WARN
LEGIT-LINEAGE-002,Rhinestone Nexus,KNOWN_LINEAGE_NEW_DEPLOYMENT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,hist_ngram_xgb,0.2210514396429062,0.19851870834827423,0.2512909770011902,0.33092360695203143,0,DEFER
LEGIT-LINEAGE-002,Rhinestone Nexus,KNOWN_LINEAGE_NEW_DEPLOYMENT,False,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,PARTIAL,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,sequence,0.16508559634288153,0.05371742695569992,0.2689557671546936,0.6497087279955546,0,DEFER
LEGIT-NEW-001,Tangem,NEW_PROJECT_INDEPENDENT_IMPLEMENTATION,True,True,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_full,0.002241939718898802,0.0015764097122192983,0.0028161197452240497,0.5545694091891941,0,NO_MODEL_WARNING
LEGIT-NEW-001,Tangem,NEW_PROJECT_INDEPENDENT_IMPLEMENTATION,True,True,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_project_balanced,0.006824848050367504,0.006113346675088166,0.008238435671829166,0.6769524693542065,0,NO_MODEL_WARNING
LEGIT-NEW-001,Tangem,NEW_PROJECT_INDEPENDENT_IMPLEMENTATION,True,True,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_untyped_guards,0.0045926093948030775,0.0038899566070023034,0.005319210193676043,0.5725368192178144,0,NO_MODEL_WARNING
LEGIT-NEW-001,Tangem,NEW_PROJECT_INDEPENDENT_IMPLEMENTATION,True,True,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,hist_ngram_xgb,0.17711451649665833,0.15587419271469116,0.2049214392900467,0.33092360695203143,0,NO_MODEL_WARNING
LEGIT-NEW-001,Tangem,NEW_PROJECT_INDEPENDENT_IMPLEMENTATION,True,True,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,sequence,0.10350782796740532,0.032789189368486404,0.15268471837043762,0.6497087279955546,0,NO_MODEL_WARNING
LEGIT-NEW-002,Startale,NEW_PROJECT_OFFICIAL_IMPLEMENTATION,True,True,OFFICIAL_DEPLOYMENT_AUTHORIZATION_COUNT_NOT_COLLECTED,PARTIAL,UNAVAILABLE_DEPLOYMENT_ONLY,dcrg_full,0.7680854166075783,0.7378077714587243,0.8135764272052648,0.5545694091891941,3,WARN
LEGIT-NEW-002,Startale,NEW_PROJECT_OFFICIAL_IMPLEMENTATION,True,True,OFFICIAL_DEPLOYMENT_AUTHORIZATION_COUNT_NOT_COLLECTED,PARTIAL,UNAVAILABLE_DEPLOYMENT_ONLY,dcrg_project_balanced,0.14447042257087714,0.13539542086003872,0.1504000593565853,0.6769524693542065,0,DEFER
LEGIT-NEW-002,Startale,NEW_PROJECT_OFFICIAL_IMPLEMENTATION,True,True,OFFICIAL_DEPLOYMENT_AUTHORIZATION_COUNT_NOT_COLLECTED,PARTIAL,UNAVAILABLE_DEPLOYMENT_ONLY,dcrg_untyped_guards,0.777904750596906,0.7523567940148099,0.8133240015385776,0.5725368192178144,3,WARN
LEGIT-NEW-002,Startale,NEW_PROJECT_OFFICIAL_IMPLEMENTATION,True,True,OFFICIAL_DEPLOYMENT_AUTHORIZATION_COUNT_NOT_COLLECTED,PARTIAL,UNAVAILABLE_DEPLOYMENT_ONLY,hist_ngram_xgb,0.24701338509718576,0.2263505607843399,0.2618653178215027,0.33092360695203143,0,DEFER
LEGIT-NEW-002,Startale,NEW_PROJECT_OFFICIAL_IMPLEMENTATION,True,True,OFFICIAL_DEPLOYMENT_AUTHORIZATION_COUNT_NOT_COLLECTED,PARTIAL,UNAVAILABLE_DEPLOYMENT_ONLY,sequence,0.1922942822178205,0.09264517575502396,0.30335456132888794,0.6497087279955546,0,DEFER
LEGIT-NEW-003,Rainbow,NEW_PROJECT_KNOWN_FRAMEWORK_LINEAGE,True,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_full,0.0019320187522742667,0.0013409537571793763,0.0024012182958301023,0.5545694091891941,0,NO_MODEL_WARNING
LEGIT-NEW-003,Rainbow,NEW_PROJECT_KNOWN_FRAMEWORK_LINEAGE,True,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_project_balanced,0.00600923215177087,0.00534834558196357,0.006744569060447329,0.6769524693542065,0,NO_MODEL_WARNING
LEGIT-NEW-003,Rainbow,NEW_PROJECT_KNOWN_FRAMEWORK_LINEAGE,True,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,dcrg_untyped_guards,0.002175985256584901,0.0017732594122455338,0.002902289387425753,0.5725368192178144,0,NO_MODEL_WARNING
LEGIT-NEW-003,Rainbow,NEW_PROJECT_KNOWN_FRAMEWORK_LINEAGE,True,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,hist_ngram_xgb,0.14992086589336395,0.13216955959796906,0.17571550607681274,0.33092360695203143,0,NO_MODEL_WARNING
LEGIT-NEW-003,Rainbow,NEW_PROJECT_KNOWN_FRAMEWORK_LINEAGE,True,False,OBSERVED_IN_POSTCUTOFF_AUTHORIZATION_WINDOW,COMPLETE,RECOVERED_FROM_FIRST_OBSERVED_AUTHORIZATION,sequence,0.131930248811841,0.031147485598921776,0.20935384929180145,0.6497087279955546,0,NO_MODEL_WARNING
