item_id,delegate_address,candidate_name_signals,candidate_related_addresses,evidence_reference_candidates,blockscout_address_status,blockscout_contract_status,sourcify_status,all_provider_requests_complete,auditor_instruction
DISC-0001,0x56ef4d420533e3c4c7e79c64d1f958aa89d2c3a9,,,"https://eth.blockscout.com/address/0x56ef4d420533e3c4c7e79c64d1f958aa89d2c3a9;https://eth.blockscout.com/api/v2/addresses/0x56ef4d420533e3c4c7e79c64d1f958aa89d2c3a9;https://eth.blockscout.com/api/v2/smart-contracts/0x56ef4d420533e3c4c7e79c64d1f958aa89d2c3a9;https://eth.blockscout.com/tx/0x30f1527d157e59d300ba0c3415c5101112de2f341dce8cfd046d534fce512344;https://sourcify.dev/server/v2/contract/1/0x56ef4d420533e3c4c7e79c64d1f958aa89d2c3a9?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0002,0x7702cb554e6bfb442cb743a7df23154544a7176c,EIP7702Proxy;src/EIP7702Proxy.sol,,"https://eth.blockscout.com/address/0x7702cb554e6bfb442cb743a7df23154544a7176c;https://eth.blockscout.com/api/v2/addresses/0x7702cb554e6bfb442cb743a7df23154544a7176c;https://eth.blockscout.com/api/v2/smart-contracts/0x7702cb554e6bfb442cb743a7df23154544a7176c;https://eth.blockscout.com/tx/0x502caba47096f33fdd9bcca3799b3606808843ded1915e8ec0098a9cab915812;https://sourcify.dev/server/v2/contract/1/0x7702cb554e6bfb442cb743a7df23154544a7176c?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0003,0xa845c74344fc9405b1fcf712f04668979573c1bf,,,"https://eth.blockscout.com/address/0xa845c74344fc9405b1fcf712f04668979573c1bf;https://eth.blockscout.com/api/v2/addresses/0xa845c74344fc9405b1fcf712f04668979573c1bf;https://eth.blockscout.com/api/v2/smart-contracts/0xa845c74344fc9405b1fcf712f04668979573c1bf;https://eth.blockscout.com/tx/0xf6481a98327df7332628765e0ac29e8c8bab4a11a57af9c28c22072b064424e4;https://sourcify.dev/server/v2/contract/1/0xa845c74344fc9405b1fcf712f04668979573c1bf?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0004,0x2c8c1b5a883a5a0833f993e70e215b199de0f237,,,"https://eth.blockscout.com/address/0x2c8c1b5a883a5a0833f993e70e215b199de0f237;https://eth.blockscout.com/api/v2/addresses/0x2c8c1b5a883a5a0833f993e70e215b199de0f237;https://eth.blockscout.com/api/v2/smart-contracts/0x2c8c1b5a883a5a0833f993e70e215b199de0f237;https://eth.blockscout.com/tx/0x9638ed9f15dd36f4d8dc431f0838b16d05957b34e3646d5b1ab9766fea47f256;https://sourcify.dev/server/v2/contract/1/0x2c8c1b5a883a5a0833f993e70e215b199de0f237?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0005,0xce92201b58a56d149e4eb1215c29078f4bab9150,,,"https://eth.blockscout.com/address/0xce92201b58a56d149e4eb1215c29078f4bab9150;https://eth.blockscout.com/api/v2/addresses/0xce92201b58a56d149e4eb1215c29078f4bab9150;https://eth.blockscout.com/api/v2/smart-contracts/0xce92201b58a56d149e4eb1215c29078f4bab9150;https://eth.blockscout.com/tx/0x6566cc10c8b2270e564371a29b5a6ae2744033b7d5c112904906e378b48ae859;https://sourcify.dev/server/v2/contract/1/0xce92201b58a56d149e4eb1215c29078f4bab9150?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0006,0xd3caa8ecf10cfd59c895991dc10fc0ff43771af6,,,"https://eth.blockscout.com/address/0xd3caa8ecf10cfd59c895991dc10fc0ff43771af6;https://eth.blockscout.com/api/v2/addresses/0xd3caa8ecf10cfd59c895991dc10fc0ff43771af6;https://eth.blockscout.com/api/v2/smart-contracts/0xd3caa8ecf10cfd59c895991dc10fc0ff43771af6;https://eth.blockscout.com/tx/0x70794fb9651ce9d57cfdd36b853c4c6184159ca53c3b1da06e8062e6f37b8f20;https://sourcify.dev/server/v2/contract/1/0xd3caa8ecf10cfd59c895991dc10fc0ff43771af6?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0007,0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe,,,"https://eth.blockscout.com/address/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://eth.blockscout.com/api/v2/addresses/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://eth.blockscout.com/api/v2/smart-contracts/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://eth.blockscout.com/tx/0xfb55041473ccd7ba1ab5a04c651830ddf86b8d0b693ab8d93e1cd8a701fb46e0;https://sourcify.dev/server/v2/contract/1/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0008,0x70706888aaac09093d126978751ea6c456ae99da,,,"https://eth.blockscout.com/address/0x70706888aaac09093d126978751ea6c456ae99da;https://eth.blockscout.com/api/v2/addresses/0x70706888aaac09093d126978751ea6c456ae99da;https://eth.blockscout.com/api/v2/smart-contracts/0x70706888aaac09093d126978751ea6c456ae99da;https://eth.blockscout.com/tx/0x0e2af0e9669dcc5ae127c3aaabc7145c108713ac4cf15366a575177ecb795e1e;https://sourcify.dev/server/v2/contract/1/0x70706888aaac09093d126978751ea6c456ae99da?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0009,0x7b0310cf6e09aaabf78236185d63a1dc44200abd,,,"https://eth.blockscout.com/address/0x7b0310cf6e09aaabf78236185d63a1dc44200abd;https://eth.blockscout.com/api/v2/addresses/0x7b0310cf6e09aaabf78236185d63a1dc44200abd;https://eth.blockscout.com/api/v2/smart-contracts/0x7b0310cf6e09aaabf78236185d63a1dc44200abd;https://eth.blockscout.com/tx/0xd562a03f9dbcc0890269f588c0fc07530948f73a922c69361059e5d078f05a9f;https://sourcify.dev/server/v2/contract/1/0x7b0310cf6e09aaabf78236185d63a1dc44200abd?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0010,0xf9b681edbe2260b5e508c78ad56878432cd548fc,TransferDelegate;contracts/TransferDelegate.sol,,"https://eth.blockscout.com/address/0xf9b681edbe2260b5e508c78ad56878432cd548fc;https://eth.blockscout.com/api/v2/addresses/0xf9b681edbe2260b5e508c78ad56878432cd548fc;https://eth.blockscout.com/api/v2/smart-contracts/0xf9b681edbe2260b5e508c78ad56878432cd548fc;https://eth.blockscout.com/tx/0xb28329443e0f8f1867f6d7b38200c453559fb88e55d017722a01f336495120bd;https://sourcify.dev/server/v2/contract/1/0xf9b681edbe2260b5e508c78ad56878432cd548fc?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
DISC-0011,0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b,,,"https://eth.blockscout.com/address/0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b;https://eth.blockscout.com/api/v2/addresses/0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b;https://eth.blockscout.com/api/v2/smart-contracts/0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b;https://eth.blockscout.com/tx/0x60b3de0b47b2f49bb7e00e97d9e30945a0fed879cd2026431ff30ee10c2a8b28;https://sourcify.dev/server/v2/contract/1/0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
