item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0x000001a53f4a8a05709d171213832453b4e1ffbd,D0001,1,0x00003db390eba12a705f7fcd5d9482b545c882e9,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768,D0002,1,0x222e5b8216dbdc67352ea23bad7dab540c753437,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x000064946ee43ea87b413939b899069672190000,D0003,1,0x238cb9d5898b53cc5b59fd8ecd22676db3ac6009,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x01e56fd1003cf460909d5f8144ee20014ca8534b,D0004,1,0xf55ed011fd34b152bee00d7866b469ff552fa13a,0x361425e0907deeea6cfcee488a10ddc5bfbbcff1,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x029901e77902e3656ee7b207d04df5330c4450c7,D0005,2,0x3d12a3dd360ca2005ad314c51272ad68f6c624c5,0x26e86b0acf511d88bff86cc25ac3a5c936cd4caf,EOA,SHARED_AUTHORITY_EOA
ethereum:0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f,D0006,3,0xd5adabc8f98a485c8efa50599afbe926b3e6dd49,0x024b9e8e4c6c99a4cddec99eb81de826ce961238,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
ethereum:0x056a25be39d351d28a49ea30e023e2cb2e380d7c,D0007,1,0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,0xa96ac0d6cc2f939b087986104158fe04bc2ebbcd,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x07e24e265de698fb3b2b02315f70154619a184b0,D0008,1,0xac785a5f9310f53e6bdfc12afe393e2802b4e8ba,0x257dc9239d2c55d07c503dce0db413d1fc7ae8e9,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x09b7496152fe1136ecfdc60d79d40f56837fecf8,D0009,1,0x0458b911a4dbc6dffc727980eebca13afd7ba597,0xdeadc0dec18f9f380c7c272e366a5e0b32aa1eff,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3,D0010,1,0x01a9a6279854eff17169e3936296291296a62292,0xdead7f94da688543dcf661114abbf626a8386666,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe,D0011,1,0xdaa9ae6e662e010d5ee34c07985bc21ca81d0661,0xc7ad0604659144cca3d81aac7d0ca11828bb679b,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc,D0012,1,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x53a1f685d66c14962e7ebbc58e5f30b17b0c06df,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x0e156ecdcab59fe16963a0de55137f4e3067759a,D0013,2,0x5949ab23c1332234cbd15a90bc63bef8151166ea,0x810b0cfd3efc3006e8819a2f96225be6a228b752,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
