item_id,delegate_address,candidate_name_signals,candidate_related_addresses,evidence_reference_candidates,blockscout_address_status,blockscout_contract_status,sourcify_status,all_provider_requests_complete,auditor_instruction
ethereum:0x000001a53f4a8a05709d171213832453b4e1ffbd,0x000001a53f4a8a05709d171213832453b4e1ffbd,,,"https://eth.blockscout.com/api/v2/addresses/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://eth.blockscout.com/api/v2/smart-contracts/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://etherscan.io/address/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://etherscan.io/tx/0x3632bd116bc3e0074d8f0588b4d7bbb07f953d770824b929aeeef268abe73489;https://sourcify.dev/server/v2/contract/1/0x000001a53f4a8a05709d171213832453b4e1ffbd?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768,0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768,,,"https://eth.blockscout.com/api/v2/addresses/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://eth.blockscout.com/api/v2/smart-contracts/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://etherscan.io/address/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://etherscan.io/tx/0xb53eaaf7303c8222d2456c5b41c306d4d590f6882851968ddbadabb29cbc0b83;https://sourcify.dev/server/v2/contract/1/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x000064946ee43ea87b413939b899069672190000,0x000064946ee43ea87b413939b899069672190000,,,"https://eth.blockscout.com/api/v2/addresses/0x000064946ee43ea87b413939b899069672190000;https://eth.blockscout.com/api/v2/smart-contracts/0x000064946ee43ea87b413939b899069672190000;https://etherscan.io/address/0x000064946ee43ea87b413939b899069672190000;https://etherscan.io/tx/0xa037c204b8a122c286a6a32d1d5d38cf7dcc190a5854373cc2775c5b3f207aea;https://sourcify.dev/server/v2/contract/1/0x000064946ee43ea87b413939b899069672190000?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x01e56fd1003cf460909d5f8144ee20014ca8534b,0x01e56fd1003cf460909d5f8144ee20014ca8534b,,,"https://eth.blockscout.com/api/v2/addresses/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://eth.blockscout.com/api/v2/smart-contracts/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://etherscan.io/address/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://etherscan.io/tx/0x45ce9aea8bedeb465b2a6d6cf80ab6a2e0aef1bda243cf1d9ccdd31871e6f04e;https://sourcify.dev/server/v2/contract/1/0x01e56fd1003cf460909d5f8144ee20014ca8534b?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x029901e77902e3656ee7b207d04df5330c4450c7,0x029901e77902e3656ee7b207d04df5330c4450c7,,,"https://eth.blockscout.com/api/v2/addresses/0x029901e77902e3656ee7b207d04df5330c4450c7;https://eth.blockscout.com/api/v2/smart-contracts/0x029901e77902e3656ee7b207d04df5330c4450c7;https://etherscan.io/address/0x029901e77902e3656ee7b207d04df5330c4450c7;https://etherscan.io/tx/0x0edceb260a31a4033ef5b0cea42bb5bf137f261b4f0f82e253b00139c1854a2e;https://sourcify.dev/server/v2/contract/1/0x029901e77902e3656ee7b207d04df5330c4450c7?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f,0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f,,,"https://eth.blockscout.com/api/v2/addresses/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://eth.blockscout.com/api/v2/smart-contracts/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://etherscan.io/address/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://etherscan.io/tx/0x885042fa77b078e9f691b311710724d89d0ea27837a8f840df8f81e95aaa088b;https://sourcify.dev/server/v2/contract/1/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x056a25be39d351d28a49ea30e023e2cb2e380d7c,0x056a25be39d351d28a49ea30e023e2cb2e380d7c,,,"https://eth.blockscout.com/api/v2/addresses/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://eth.blockscout.com/api/v2/smart-contracts/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://etherscan.io/address/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://etherscan.io/tx/0xeb52559142fcc73fbda9f3fbdc62d88f117aa8577f35aea62a0c60c29ab7c31c;https://sourcify.dev/server/v2/contract/1/0x056a25be39d351d28a49ea30e023e2cb2e380d7c?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x07e24e265de698fb3b2b02315f70154619a184b0,0x07e24e265de698fb3b2b02315f70154619a184b0,,,"https://eth.blockscout.com/api/v2/addresses/0x07e24e265de698fb3b2b02315f70154619a184b0;https://eth.blockscout.com/api/v2/smart-contracts/0x07e24e265de698fb3b2b02315f70154619a184b0;https://etherscan.io/address/0x07e24e265de698fb3b2b02315f70154619a184b0;https://etherscan.io/tx/0xfbee01ede0d7e7f9f172ad076a7160d865b81ad4a346aeec34364ea6d4b35005;https://sourcify.dev/server/v2/contract/1/0x07e24e265de698fb3b2b02315f70154619a184b0?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x09b7496152fe1136ecfdc60d79d40f56837fecf8,0x09b7496152fe1136ecfdc60d79d40f56837fecf8,,,"https://eth.blockscout.com/api/v2/addresses/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://eth.blockscout.com/api/v2/smart-contracts/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://etherscan.io/address/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://etherscan.io/tx/0xe6b8672e65c4d04808fec9a79d7f96f0520b9ac0c9065f9cffba1b1477c4f40c;https://sourcify.dev/server/v2/contract/1/0x09b7496152fe1136ecfdc60d79d40f56837fecf8?fields=compilation,proxyResolution",FOUND,FOUND,NOT_FOUND,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
ethereum:0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3,0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3,SimpleEncodedExecutor;smallgas.sol;smallgas.sol:SimpleEncodedExecutor,,"https://eth.blockscout.com/api/v2/addresses/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://eth.blockscout.com/api/v2/smart-contracts/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://etherscan.io/address/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://etherscan.io/tx/0x43ce54dacbd423ab25059b4454ec5368d642465e3c432f61839745435a4b0e70;https://sourcify.dev/server/v2/contract/1/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3?fields=compilation,proxyResolution",FOUND,FOUND,VERIFIED,True,"Treat all names, tags, twins, and proxy addresses as leads. Independently verify project ownership and deployment relationships before entering CONFIRMED."
