address,chain,code_bytes,opcode_count,bytecode_sha256,is_exact_historical_duplicate,best_family_similarity,matched_historical_family,is_previously_unseen_family,fetch_error
0xbab081e773353de05c98f2a7292207c5ae1d97e6,bnb,953,601,e994ff8f1893bac86d0c9be511b5bd7a52356425c2f47fe4e6347a07a5f60cbd,False,0.4914,,True,
0xfe3f0cad9af321ef5e1f7397b7e13f4a2956c8d6,bnb,18910,13213,d6392304d8b535ea16196fd21b8ac0f879e82f3df333a7f1b9c6e9bbb102324a,False,0.2566,,True,
0x289c9c58355e1a7d2b0ad4a5e8f2c3c961b48ae9,bnb,3597,2164,cda5920b8ac3e7445a13c2d3c6c237e0211bbea913d3b6c59ff41a814f071c9f,False,1.0,F00008,False,
0x079c9475a700c7e6c5d39656ad4b54ff150a6943,bnb,1352,863,28c36c51adda87201e3c1f835c8e70e8513b4232e6e95fb422262c32cafaa25f,False,0.4057,,True,
0x0000000000000000000000000000000000000000,bnb,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,0.0,,True,
0x9d36c16f83eec483804e2a37d8aaf9c373f5f60f,bnb,7713,4426,e1dbe7372c0c3cc390f7704d33c94b012bfa6b6c34519c63cdfa1340888600c4,False,1.0,F00983,False,
0xcc0c946eecf01a4bc76bc333ea74ceb04756f17b,bnb,3834,1567,c1ae5da81c52e358461883a4446a2d5eff6ec6af204f169aac9e2e9ab8d36844,False,0.9834,F00976,False,
0xb108feddfe766aedee80bd9c6f6b2cb17a33d0d7,bnb,2252,1350,f377ea3418f6321bae6855ce0d49058aaa669c0a7820679d58a553e2e3391b7c,False,0.6835,,True,
0x430424002c901f2fdd674cbf62228554144a39f8,bnb,1519,909,2fb6b134aa13eeaf4dc89ee279ca2ab43b9beaefd84b52893ce3d0e9ac00ed4a,False,0.8148,,True,
0x658efa61bf640159acaef67bf39ca159d92c915f,bnb,2140,1288,467b3d573902c9520c650467042c5688840fb8184b212e8461072d828e681c26,False,0.5331,,True,
0x03b5161b5bc717082f00bce199528f2269cd4c79,bnb,2140,1288,c492bea4b4d838fca5575fe6b5e827c45b5a2609211980ae2b9ac97164d90109,False,0.5331,,True,
0x3c2c9a337983f0f6b1eb1a138447c96868ce3fdc,bnb,2140,1288,596d608bb0a23a5812774215d275d15c1cc131bf325ab588226c710a37c7418d,False,0.5331,,True,
0xc99f40a9c952ce7e29e2f8b6c7461cdb60c1b54a,bnb,1042,522,716eaee3971301be5fb042d07c486261e5ec553474bb21a5b83cd5d81c35d73e,False,0.9321,F00023,False,
0x78c7ad39e03f05219bbd8ac6e2f2add76df89fa1,bnb,1452,865,bb07e0cacaa0388208ae23c7c1709d79f4daebe84913750b846184a640adce49,False,0.5507,,True,
0x0000fb7702036ff9f76044a501ac1aa74cbab16b,bnb,7314,3059,fc6d0542c4a5eda0a70adb614a955e5be7e6a59ad774e6c9e1aae5cff24a9ea9,False,1.0,F00864,False,
0xe6cae83bde06e4c305530e199d7217f42808555b,bnb,3639,1467,e5cafd6d044419dd87f11e2797e1ef8c62d838ee13b3ebbb2499745998b32e74,False,0.9685,F00707,False,
0xd6cedde84be40893d153be9d467cd6ad37875b28,bnb,24469,15936,394e7e71697fed29c28b8d8b523f0edc6f02f4892f79c55196c7914c5c0a97fc,False,1.0,F00217,False,
0xd2e28229f6f2c235e57de2ebc727025a1d0530fb,bnb,6905,2636,c0b57b2c40a34ef84dea003ef3fefecab90bcf8a309564747de849eb1dfcf504,False,0.8746,F00931,False,
0x05bdcd4d4e6402a7d6c207561a834a067977bd2a,bnb,2314,1461,eff96dd3904bc1b27aa314076f4eeda560dce267c0d42d7c47efb739a98b49f7,False,0.7969,,True,
0x04d73d2ebad6a9c554146b54d4524d680fdff7ea,bnb,1352,852,d49ce04e173cf311835a4ef2562ca9de18a14b8d85ac939815445f0a5b6b6e34,False,0.4104,,True,
0x7785a22facd31db653ba4928f1d5b81d093f0b2f,bnb,1801,1125,26bfd04fa2b7fe6a14405ba77ba1c919a87c99777b8d6bb18c5334278beb0606,False,1.0,F00705,False,
0xa845c74344fc9405b1fcf712f04668979573c1bf,bnb,2303,1525,9c537df78a7f47ce29b0b88a59b6e0b0bce6cc775a0051b030ea4db900a1ede2,False,0.1878,,True,
0x314c01e758a7911e7339aa4f960c7749e8947775,bnb,2751,1781,c49c5610980f47623f5359f4f97d30a851615a046580c621701882e829267979,False,0.533,,True,
0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,bnb,11185,7006,6e4c6247a63c1d8cfc647f21f0ca932fa3e7c03ddae1cbf590351eee39ede550,False,1.0,F00215,False,
0x91c478e3a87626be374e0c29338ad68f38556e2c,bnb,2727,1475,d1d44ba9725ef37eafa7e883b1d7506364192a590e1dcfd987978823d62f76cf,False,0.7011,,True,
0x36d3cbd83961868398d056efbf50f5ce15528c0d,bnb,23615,13517,399176fcaa0e3631b9d91edc43955b5d769ee6faed9c07c9876f58da72cc1716,False,0.963,F00219,False,
