address,chain,code_bytes,opcode_count,bytecode_sha256,is_exact_historical_duplicate,best_family_similarity,matched_historical_family,is_previously_unseen_family,fetch_error
0xd6cedde84be40893d153be9d467cd6ad37875b28,base,24469,15936,9ddcfe8fdfff2928efe8c7a0593fb640b2906ae01450d5ff3c6f75bd4cf6e981,False,1.0,F00217,False,
0x89197c6fb5018f406e8dd62fed712e387cb4be88,base,1704,922,1fc166b81b9ab5d9bc83b5debbec2444d7372d139cc5e76bacb18ff19194f472,False,0.4127,,True,
0x7702cb554e6bfb442cb743a7df23154544a7176c,base,3318,1348,97497b31483a21567c1c520851c6e8e65e6ce906dc9236843668a21c3cd691e3,False,0.2624,,True,
0xe6cae83bde06e4c305530e199d7217f42808555b,base,3639,1467,e5cafd6d044419dd87f11e2797e1ef8c62d838ee13b3ebbb2499745998b32e74,False,0.9685,F00707,False,
0x3e515544f8d8293b0a353e10ff3b7ca03b52f35b,base,22553,12375,5d670e62a8b3562bd694af6c29d2792fe27ffb8e0a2370f89943848b2f339b9e,False,0.931,F00728,False,
0x69007702764179f14f51cdce752f4f775d74e139,base,23741,10542,742f760f1278f7ede7ff447b50c91e0e33f576909c14bcb04c0eef8473c677e1,False,1.0,F00221,False,
0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,base,11185,7006,4353bc53e63ffaeeba7293af252a0bcef724a1c0419c5ed63298fa0788067d67,False,1.0,F00215,False,
0x000069d8726b7135bbb9cd4c9f8e66b381d00000,base,5119,2938,258f0dee2ef385f950b1d0ffd5ba5f1edd579c0708e52afd37ba726e88b5aa90,False,0.695,,True,
0x7785a22facd31db653ba4928f1d5b81d093f0b2f,base,1801,1125,26bfd04fa2b7fe6a14405ba77ba1c919a87c99777b8d6bb18c5334278beb0606,False,1.0,F00705,False,
0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,base,24504,11646,ec2f73e60cd9acf855d1b6b4dfa3f6b7209066ff4194b72af230834f69f5bbb9,False,0.9949,F00669,False,
0xb5fa7cf77a90fd113b7547329cd195fdef8ecb56,base,3173,1892,b824cbe67e54f457e7ae86f1877cfbf09a6750c959333f7690d0eec8553bac85,False,0.5145,,True,
0x42a2c651c7f6495a9f82d2a4cd5372ec93096988,base,3931,2303,8f0c5211018a5f82db77489794f0ec628ec4c5084558cba687f6c8774545bd09,False,0.6231,,True,
