chain,block_number,block_timestamp_unix,tx_hash,tx_from,authorization_chain_id,delegate_address,authorization_nonce
gnosis,44447656,1769904730,0x9d70e0a059f3256669bff33335bb3b4b501f4021a1b2df7670c73b41b9b9dfb6,0x0a747f03ef39df388d93fbc15e64f9191bea66c6,0x64,0x65b84e44cf2972ad4491e94577816c68b890f86f,0x24c10
gnosis,44447658,1769904740,0x74083e09378465aa1feee3105cad15b4541d452e9c9c3cba2e17130c357ecf43,0x0a747f03ef39df388d93fbc15e64f9191bea66c6,0x64,0x65b84e44cf2972ad4491e94577816c68b890f86f,0x255ad
gnosis,44447658,1769904740,0xf2d4d85e3194dd2053018410d51e6bc6fe23a02c0007ff83c1c32477d322c0a7,0x4676d66b0d5bebe27d99d9c4529ea53c179cd9d2,0x64,0x3414036ff685cc0ed5dc608c857f3fac5f7f363f,0x24c11
gnosis,44447659,1769904745,0x9db720c951fc515b428e3626fc93ec497609e31d900223dbe302554343c20473,0x4676d66b0d5bebe27d99d9c4529ea53c179cd9d2,0x64,0x3414036ff685cc0ed5dc608c857f3fac5f7f363f,0x255ae
gnosis,44447659,1769904745,0x7eb62a5fe85c851e3360888e8316ffb9529f0484d4b172c695ed0130c169f1b1,0xa002e30c05cf837000a4881e2130a4989599b0c4,0x64,0x7f8f3544354ac3ceb6921dbca04f03bbd3ae5886,0x255ae
gnosis,44447661,1769904755,0xed5df47842b5574672f7d28ba69f1d0ab090356a9bd6e57b44537000f511304f,0x0a747f03ef39df388d93fbc15e64f9191bea66c6,0x64,0x65b84e44cf2972ad4491e94577816c68b890f86f,0x22f2e
gnosis,44447662,1769904760,0x4287c40bc288bd953dd865ca9f3ea4ead99f8a3d35803f54d7e9e5d75346d029,0x4676d66b0d5bebe27d99d9c4529ea53c179cd9d2,0x64,0x3414036ff685cc0ed5dc608c857f3fac5f7f363f,0x22f2f
gnosis,44447662,1769904760,0xdea1dcfdbe5e3c60a6b8c2062fd8619e4bf03c49396c04fdc35261f8e5871879,0xa002e30c05cf837000a4881e2130a4989599b0c4,0x64,0x7f8f3544354ac3ceb6921dbca04f03bbd3ae5886,0x22f2f
gnosis,44447665,1769904775,0xffb77e75c5e696cb17dd86af033575ba6ab698f534e48f329d201b0b2fa1a5b5,0x0a747f03ef39df388d93fbc15e64f9191bea66c6,0x64,0x65b84e44cf2972ad4491e94577816c68b890f86f,0x12d64
gnosis,44447666,1769904780,0x64c8622895bfba70053870d5edd6c76733777cdd06f26369d649301d37ced4dd,0x4676d66b0d5bebe27d99d9c4529ea53c179cd9d2,0x64,0x3414036ff685cc0ed5dc608c857f3fac5f7f363f,0x12d65
gnosis,44447859,1769905770,0x2a9d88f1c89dda50a061ca239ab5839cd219eda973d03a852e4e82a84dcba2fc,0xda4ef38498a5e0b950b1afa6723054c7528509e0,0x64,0x0433d97d01117f2a0de1c29f8e60bd92663f0d97,0x25e11
gnosis,44447860,1769905775,0x65488ceeb2bd6ea52b7ccf17fccd5a2b2d7429018e8ab7de262d74e29d6ed3bc,0x4676d66b0d5bebe27d99d9c4529ea53c179cd9d2,0x64,0x3414036ff685cc0ed5dc608c857f3fac5f7f363f,0x25e12
gnosis,44447860,1769905775,0x2aa933208ddf4336108129c2dc8c2261b56d35333d169ade715c7349a1d18a78,0x34f41c98898ed0c2f7d004538a7cbde33b35404f,0x64,0xe62a48161ca9921185ca6ef88d6a8126eb58a567,0x25e12
gnosis,44447860,1769905775,0xf683a6e4b3114e27a71daaf21a9e06736f1696bc19a90d1d98ed6ab6fbc7d9bb,0xda4ef38498a5e0b950b1afa6723054c7528509e0,0x64,0x0433d97d01117f2a0de1c29f8e60bd92663f0d97,0x25e11
gnosis,44447886,1769905910,0xe7bbd8415f0bbaa89434f3ed8062c53471fe42221d2bb41848d015946c7041e5,0x0a747f03ef39df388d93fbc15e64f9191bea66c6,0x64,0x65b84e44cf2972ad4491e94577816c68b890f86f,0x24f7a
gnosis,44447887,1769905915,0xf773b815843a645c8be558c269ccc7c71004febc6ae6fdcb68b87bdcae29f021,0x4676d66b0d5bebe27d99d9c4529ea53c179cd9d2,0x64,0x3414036ff685cc0ed5dc608c857f3fac5f7f363f,0x24f7b
gnosis,44448110,1769907050,0xa97281f15a03217cd03d073490da84ff52d9ab246e3208f53bb84a4c9a8166d9,0xda4ef38498a5e0b950b1afa6723054c7528509e0,0x64,0x0433d97d01117f2a0de1c29f8e60bd92663f0d97,0x24694
gnosis,44448111,1769907055,0xb88b2012952103250cdc26eb6b09770dc3b98727ea18711cf92846c01fea1ebb,0x4676d66b0d5bebe27d99d9c4529ea53c179cd9d2,0x64,0x3414036ff685cc0ed5dc608c857f3fac5f7f363f,0x24695
gnosis,44448111,1769907055,0x341dd56f9c881e702ff5b64af04687c9c7f5b0648ac8e9121326c662ac8a0358,0xda4ef38498a5e0b950b1afa6723054c7528509e0,0x64,0x0433d97d01117f2a0de1c29f8e60bd92663f0d97,0x24694
